MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,20,7.796449|7.000000|1.000000,0.025360107421875,7.0,9.290511|7.000000|1.000000,7.796449|7.000000|1.000000,9.290511|7.000000|1.000000,7,50410987520.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,21,7.796449|7.000000|1.000000,0.02625870704650879,7.0,9.290511|7.000000|1.000000,7.796449|7.000000|1.000000,9.290511|7.000000|1.000000,7,75136589824.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,22,7.796449|7.000000|1.000000,0.026327848434448242,7.0,9.290511|7.000000|1.000000,7.796449|7.000000|1.000000,9.290511|7.000000|1.000000,7,95354265600.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,23,7.796449|7.000000|1.000000,0.026541948318481445,7.0,9.290511|7.000000|1.000000,7.796449|7.000000|1.000000,9.290511|7.000000|1.000000,7,45982203904.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,24,7.796449|7.000000|1.000000,0.027019739151000977,7.0,9.290511|7.000000|1.000000,7.796449|7.000000|1.000000,9.290511|7.000000|1.000000,7,82838626304.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,25,7.796449|7.000000|1.000000,0.026467084884643555,7.0,9.290511|7.000000|1.000000,7.796449|7.000000|1.000000,9.290511|7.000000|1.000000,7,70572302336.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,26,7.796449|7.000000|1.000000,0.026194334030151367,7.0,9.290511|7.000000|1.000000,7.796449|7.000000|1.000000,9.290511|7.000000|1.000000,7,76869509120.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,27,7.796449|7.000000|1.000000,0.026346683502197266,7.0,9.290511|7.000000|1.000000,7.796449|7.000000|1.000000,9.290511|7.000000|1.000000,7,47261941760.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,28,7.796449|7.000000|1.000000,0.02663898468017578,7.0,9.290511|7.000000|1.000000,7.796449|7.000000|1.000000,9.290511|7.000000|1.000000,7,76514508800.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,29,7.796449|7.000000|1.000000,0.026267528533935547,7.0,9.290511|7.000000|1.000000,7.796449|7.000000|1.000000,9.290511|7.000000|1.000000,7,48067153920.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,30,7.472232|7.000000|1.000000,0.027214765548706055,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,113983741952.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,31,7.472232|7.000000|1.000000,0.02595686912536621,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,58191708160.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,32,7.472232|7.000000|1.000000,0.026584625244140625,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,74883407872.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,33,7.472232|7.000000|1.000000,0.0265047550201416,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,98787270656.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,34,7.472232|7.000000|1.000000,0.026278257369995117,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,87382409216.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,35,7.472232|7.000000|1.000000,0.02612757682800293,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,34369839104.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,36,7.472232|7.000000|1.000000,0.02755427360534668,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,93120782336.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,37,7.472232|7.000000|1.000000,0.026387453079223633,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,76663840768.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,38,7.472232|7.000000|1.000000,0.0255587100982666,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,100527276032.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,39,7.472232|7.000000|1.000000,0.02648448944091797,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,116525129728.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,40,7.472232|7.000000|1.000000,0.02569723129272461,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,50020577280.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,41,7.472232|7.000000|1.000000,0.02685379981994629,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,73826934784.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,42,7.472232|7.000000|1.000000,0.0261688232421875,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,99815227392.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,43,7.472232|7.000000|1.000000,0.02705836296081543,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,71175782400.000000,N/A,2,5
