MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,24,9.489357|3.000000|0.000000,9.313041925430298,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,25,9.489357|3.000000|0.000000,9.47490668296814,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,26,9.489357|3.000000|0.000000,9.454041004180908,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,27,9.489357|3.000000|0.000000,9.484915971755981,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,28,9.489357|3.000000|0.000000,9.631038904190063,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,29,9.489357|3.000000|0.000000,9.53625226020813,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,30,9.489357|3.000000|0.000000,9.515089988708496,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,31,9.489357|3.000000|0.000000,9.559317111968994,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,32,9.489357|3.000000|0.000000,9.656651020050049,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,33,9.489357|3.000000|0.000000,9.477307081222534,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,34,9.489357|3.000000|0.000000,9.659173011779785,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,35,9.489357|3.000000|0.000000,9.338983058929443,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,36,9.489357|3.000000|0.000000,9.516183137893677,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,37,9.489357|3.000000|0.000000,9.443766832351685,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,38,9.489357|3.000000|0.000000,9.733121156692505,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,39,9.489357|3.000000|0.000000,9.472035646438599,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,40,9.489357|3.000000|0.000000,9.226993083953857,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
