=== Stats: Cooling_bkp (2_Objs) ===
Scenario  NSGA-II_Pure  NT_1st_Obj_Elitism  NT_NSGA-II
count        11.000000           11.000000   11.000000
mean          4.514555            4.526600    4.514555
std           0.236832            0.305546    0.236832
min           4.030739            4.002626    4.030739
25%           4.377738            4.421254    4.377738
50%           4.516559            4.548521    4.516559
75%           4.653414            4.714227    4.653414
max           4.943788            5.000606    4.943788

Friedman Test:
Statistic: 1.3333, p-value: 0.513417
