MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,26,6.788783|7.000000,0.016479015350341797,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,3589158400.000000,N/A,5
MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,27,6.788783|7.000000,0.01622605323791504,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,49937350656.000000,N/A,5
MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,28,6.788783|7.000000,0.015566825866699219,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,48390701056.000000,N/A,5
MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,29,6.788783|7.000000,0.01621413230895996,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,52542402560.000000,N/A,5
MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,30,6.788783|7.000000,0.017086267471313477,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,74717675520.000000,N/A,5
MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,31,6.788783|7.000000,0.01638007164001465,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,61750874112.000000,N/A,5
MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,32,6.788783|7.000000,0.016094207763671875,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,72639586304.000000,N/A,5
MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,33,6.788783|7.000000,0.016557931900024414,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,38497361920.000000,N/A,5
MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,34,6.788783|7.000000,0.01758289337158203,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,139318378496.000000,N/A,5
MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,35,6.788783|7.000000,0.016911983489990234,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,47044009984.000000,N/A,5
MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,36,6.788783|7.000000,0.0169830322265625,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,79241330688.000000,N/A,5
MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,37,6.788783|7.000000,0.017808198928833008,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,75460534272.000000,N/A,5
MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,38,6.788783|7.000000,0.016751766204833984,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,48941395968.000000,N/A,5
MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,39,6.788783|7.000000,0.01743793487548828,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,92645376000.000000,N/A,5
MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,40,6.788783|7.000000,0.017635822296142578,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,36921712640.000000,N/A,5
MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,41,6.788783|7.000000,0.016253948211669922,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,59988291584.000000,N/A,5
MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,42,6.788783|7.000000,0.01724386215209961,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,95692406784.000000,N/A,5
MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,43,6.788783|7.000000,0.01641082763671875,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,74892484608.000000,N/A,5
MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,44,6.788783|7.000000,0.016759157180786133,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,79774613504.000000,N/A,5
MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,45,6.788783|7.000000,0.017045974731445312,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,69704269824.000000,N/A,5
MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,46,6.788783|7.000000,0.01660013198852539,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,87152427008.000000,N/A,5
MOGP_GENERATIONAL,b7c62e26-ea8c-11f0-bfab-6e001b3eef54,Boston,74,47,6.788783|7.000000,0.01704883575439453,7.0,7.772546|7.000000,6.788783|7.000000,7.772546|7.000000,7,76036710400.000000,N/A,5
