MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,27,4.541265|3.000000,0.01825094223022461,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,37324910592.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,28,4.541265|3.000000,0.020145654678344727,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,62315065344.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,29,4.541265|3.000000,0.019315719604492188,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,66378416128.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,30,4.541265|3.000000,0.018723249435424805,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,70877216768.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,31,4.541265|3.000000,0.02090144157409668,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,101103509504.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,32,4.541265|3.000000,0.018660306930541992,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,69341519872.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,33,4.541265|3.000000,0.019309043884277344,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,117070864384.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,34,4.541265|3.000000,0.020243406295776367,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,12859168768.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,35,4.541265|3.000000,0.019715547561645508,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,99273572352.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,36,4.541265|3.000000,0.020417213439941406,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,151732748288.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,37,4.541265|3.000000,0.01952052116394043,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,106225532928.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,38,4.541265|3.000000,0.018962860107421875,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,96273080320.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,39,4.541265|3.000000,0.018588781356811523,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,79683461120.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,40,4.541265|3.000000,0.01897120475769043,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,100814684160.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,41,4.541265|3.000000,0.018742799758911133,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,120871649280.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,42,4.541265|3.000000,0.019521713256835938,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,79259648000.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,43,4.541265|3.000000,0.019544363021850586,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,85163769856.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,44,4.541265|3.000000,0.02001214027404785,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,121244565504.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,45,4.541265|3.000000,0.019436359405517578,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,70533652480.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,46,4.541265|3.000000,0.018983125686645508,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,85307523072.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,47,4.541265|3.000000,0.019180774688720703,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,85442641920.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,48,4.541265|3.000000,0.02007603645324707,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,106778165248.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,49,4.541265|3.000000,0.0191497802734375,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,103014137856.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,50,4.541265|3.000000,0.01977396011352539,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,92889522176.000000,N/A,1,5
