MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,0,9.970822|3.000000,0.9477288722991943,3.0,10.394122|3.000000,N/A,N/A,0,243229868032.000000,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,1,9.970822|3.000000,3.848026752471924,3.0,10.394122|3.000000,9.283476|5.000000,11.924703|5.000000,5,3.078585,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,2,7.900835|3.000000,3.720893144607544,3.0,8.066126|3.000000,7.900835|3.000000,8.066126|3.000000,3,3.110456,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,3,7.900835|3.000000,3.651395797729492,3.0,8.066126|3.000000,7.900835|3.000000,8.066126|3.000000,3,2.496996,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,4,7.900835|3.000000,3.7775368690490723,3.0,8.066126|3.000000,7.900835|3.000000,8.066126|3.000000,3,1.846091,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,5,7.900835|3.000000,3.6808111667633057,3.0,8.066126|3.000000,7.900835|3.000000,8.066126|3.000000,3,0.883525,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,6,7.900835|3.000000,3.801555871963501,3.0,8.066126|3.000000,7.900835|3.000000,8.066126|3.000000,3,0.489461,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,7,7.900835|3.000000,3.921020984649658,3.0,8.066126|3.000000,7.900835|3.000000,8.066126|3.000000,3,0.450729,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,8,7.900835|3.000000,3.8052308559417725,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.379106,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,9,7.900835|3.000000,3.788540840148926,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.378200,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,10,7.900835|3.000000,4.000088214874268,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.369120,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,11,7.900835|3.000000,4.2199437618255615,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.374876,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,12,7.900835|3.000000,4.441436290740967,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.376814,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,13,7.900835|3.000000,4.958745956420898,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.444477,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,14,7.900835|3.000000,5.358813047409058,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.444477,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,15,7.900835|3.000000,5.354946136474609,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.445081,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,16,7.900835|3.000000,5.242613792419434,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.486332,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,17,7.900835|3.000000,5.524397611618042,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.505116,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,18,7.900835|3.000000,5.397252082824707,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.524531,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,19,7.900835|3.000000,5.077638864517212,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.557774,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,20,7.900835|3.000000,5.050326824188232,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.604673,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,21,7.900835|3.000000,4.919912815093994,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.658355,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,22,7.900835|3.000000,4.6750099658966064,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.703953,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,23,7.900835|3.000000,4.760394096374512,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.766075,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,24,7.900835|3.000000,4.573599100112915,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.852615,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,25,7.900835|3.000000,4.20102596282959,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.921109,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,26,7.900835|3.000000,4.170299768447876,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.973659,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,27,7.900835|3.000000,4.389933824539185,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.855454,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,28,7.900835|3.000000,4.830657958984375,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.000212,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,29,7.900835|3.000000,5.894278049468994,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.000212,N/A,5
MOGP_NSGAII,91bf29e6-f011-11f0-846b-6e001b3eef54,Boston,74,30,7.900835|3.000000,6.321413993835449,3.0,8.066126|3.000000,7.896597|5.000000,8.050786|5.000000,5,0.000212,N/A,5
