MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,18,4.633978|3.000000,0.019533395767211914,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,51502788608.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,19,4.633978|3.000000,0.018523693084716797,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,62210326528.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,20,4.633978|3.000000,0.0188751220703125,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,93008117760.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,21,4.633978|3.000000,0.01974034309387207,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,128751460352.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,22,4.633978|3.000000,0.019142627716064453,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,92102860800.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,23,4.633978|3.000000,0.01938939094543457,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,83268943872.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,24,4.633978|3.000000,0.019515514373779297,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,77177921536.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,25,4.633978|3.000000,0.020032405853271484,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,145231020032.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,26,4.633978|3.000000,0.020613670349121094,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,91744616448.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,27,4.633978|3.000000,0.01844191551208496,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,28,4.633978|3.000000,0.019745588302612305,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,95948840960.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,29,4.633978|3.000000,0.019357919692993164,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,96045973504.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,30,4.633978|3.000000,0.019930601119995117,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,71068893184.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,31,4.633978|3.000000,0.019419193267822266,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,98707447808.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,32,4.633978|3.000000,0.019309043884277344,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,97041260544.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,33,4.633978|3.000000,0.019611835479736328,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,128049889280.000000,N/A,1,5
MOGP_GENERATIONAL,bb0a243c-1450-11f1-9378-303ea725c124,Cooling,74,34,4.633978|3.000000,0.01985454559326172,3.0,4.337965|3.000000,4.633978|3.000000,4.337965|3.000000,3,99497607168.000000,N/A,1,5
