MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,31,4.610571|3.000000,5.198525905609131,3.0,4.395564|3.000000,4.192588|5.000000,5,0.018898,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,32,4.610571|3.000000,5.17022180557251,3.0,4.395564|3.000000,4.192588|5.000000,5,0.018898,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,33,4.610571|3.000000,5.272030830383301,3.0,4.395564|3.000000,4.192588|5.000000,5,0.018898,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,34,4.610571|3.000000,5.16356086730957,3.0,4.395564|3.000000,4.192588|5.000000,5,0.018898,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,35,4.610571|3.000000,5.141088962554932,3.0,4.395564|3.000000,4.192588|5.000000,5,0.018898,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,36,4.610571|3.000000,5.096095085144043,3.0,4.395564|3.000000,4.192588|5.000000,5,0.018898,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,37,4.610571|3.000000,5.174036979675293,3.0,4.395564|3.000000,4.192588|5.000000,5,0.018898,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,38,4.610571|3.000000,5.313532114028931,3.0,4.395564|3.000000,4.192588|5.000000,5,0.018898,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,39,4.610571|3.000000,5.336681842803955,3.0,4.395564|3.000000,4.192588|5.000000,5,0.018898,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,40,4.610571|3.000000,5.458266019821167,3.0,4.395564|3.000000,4.192588|5.000000,5,0.018898,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,41,4.610571|3.000000,5.3836469650268555,3.0,4.395564|3.000000,4.192588|5.000000,5,0.018898,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,42,4.610571|3.000000,5.2324769496917725,3.0,4.395564|3.000000,4.192588|5.000000,5,0.018898,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,43,4.610571|3.000000,5.339395999908447,3.0,4.395564|3.000000,4.192588|5.000000,5,0.018898,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,44,4.610571|3.000000,5.3048200607299805,3.0,4.395564|3.000000,4.192588|5.000000,5,0.018898,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,45,4.610571|3.000000,5.240041971206665,3.0,4.395564|3.000000,4.196505|9.000000,9,0.023283,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,46,4.610571|3.000000,5.167495250701904,3.0,4.395564|3.000000,4.196505|9.000000,9,0.026947,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,47,4.610571|3.000000,5.192507743835449,3.0,4.395564|3.000000,4.180654|7.000000,7,0.023564,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,48,4.610571|3.000000,5.186205863952637,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
