MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,47,6.744547|7.000000|2.000000,0.0269625186920166,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,105291833344.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,48,6.744547|7.000000|2.000000,0.026155710220336914,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,70336978944.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,49,6.744547|7.000000|2.000000,0.026781082153320312,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,93570080768.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,50,6.744547|7.000000|2.000000,0.026799917221069336,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,69222998016.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,51,6.744547|7.000000|2.000000,0.026623249053955078,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,64974360576.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,52,6.744547|7.000000|2.000000,0.026470422744750977,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,96543113216.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,53,6.744547|7.000000|2.000000,0.027203083038330078,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,92122497024.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,54,6.744547|7.000000|2.000000,0.0261080265045166,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,92634677248.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,55,6.744547|7.000000|2.000000,0.025904417037963867,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,88237522944.000000,N/A,2,5
MOGP_GENERATIONAL,1ce80d52-1584-11f1-9378-303ea725c124,Boston,74,56,6.744547|7.000000|2.000000,0.026997089385986328,7.0,7.861723|7.000000|2.000000,6.744547|7.000000|2.000000,7.861723|7.000000|2.000000,7,90919936000.000000,N/A,2,5
