MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,0,10.381579|3.000000,0.7834019660949707,3.0,9.411060|3.000000,9.411060|3.000000,3,243397705728.000000,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,1,10.307343|3.000000,3.3515961170196533,3.0,9.452528|3.000000,9.952523|5.000000,5,3.428510,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,2,10.307343|3.000000,2.908233165740967,3.0,9.452528|3.000000,9.952523|5.000000,5,3.358157,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,3,8.113361|3.000000,2.8838746547698975,3.0,7.558832|3.000000,7.558832|3.000000,3,2.711973,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,4,8.113361|3.000000,2.948050022125244,3.0,7.558832|3.000000,7.558832|3.000000,3,2.121738,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,5,8.113361|3.000000,2.9208319187164307,3.0,7.558832|3.000000,7.558832|3.000000,3,1.338570,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,6,8.113361|3.000000,2.9529411792755127,3.0,7.558832|3.000000,7.558832|3.000000,3,0.734040,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,7,8.113361|3.000000,3.0276529788970947,3.0,7.558832|3.000000,7.558832|3.000000,3,0.613588,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,8,8.113361|3.000000,3.0829241275787354,3.0,7.558832|3.000000,7.558832|3.000000,3,0.601210,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,9,8.113361|3.000000,3.2170400619506836,3.0,7.558832|3.000000,7.558832|3.000000,3,0.477470,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,10,8.113361|3.000000,3.5722930431365967,3.0,7.558832|3.000000,7.558832|3.000000,3,0.461933,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,11,8.113361|3.000000,3.647670030593872,3.0,7.558832|3.000000,7.558832|3.000000,3,0.502890,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,12,8.113361|3.000000,3.8394157886505127,3.0,7.558832|3.000000,7.558832|3.000000,3,0.544007,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,13,8.113361|3.000000,4.201549053192139,3.0,7.558832|3.000000,7.558832|3.000000,3,0.619016,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,14,8.113361|3.000000,4.208236217498779,3.0,7.558832|3.000000,7.558832|3.000000,3,0.718746,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,15,8.113361|3.000000,3.8509838581085205,3.0,7.558832|3.000000,7.558832|3.000000,3,0.801763,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,16,8.113361|3.000000,3.7428011894226074,3.0,7.558832|3.000000,7.558832|3.000000,3,0.892939,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,17,8.113361|3.000000,3.5399928092956543,3.0,7.558832|3.000000,7.558832|3.000000,3,0.928034,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,18,8.113361|3.000000,3.583498001098633,3.0,7.558832|3.000000,7.558832|3.000000,3,0.824825,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,19,8.113361|3.000000,3.9193480014801025,3.0,7.558832|3.000000,7.558832|3.000000,3,0.045827,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,20,8.113361|3.000000,4.8561718463897705,3.0,7.558832|3.000000,7.558832|3.000000,3,0.046463,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,21,8.113361|3.000000,4.7016801834106445,3.0,7.558832|3.000000,7.558832|3.000000,3,0.046463,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,22,8.113361|3.000000,4.93353009223938,3.0,7.558832|3.000000,7.558832|3.000000,3,0.050589,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,23,8.113361|3.000000,4.921647071838379,3.0,7.558832|3.000000,7.558832|3.000000,3,0.050589,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,24,8.113361|3.000000,4.758990049362183,3.0,7.558832|3.000000,7.558832|3.000000,3,0.051467,N/A,5
MOGP_NSGAII,39fa475e-e6f2-11f0-b717-6e001b3eef54,Boston,74,25,8.113361|3.000000,4.756542205810547,3.0,7.558832|3.000000,7.558832|3.000000,3,0.051489,N/A,5
