MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,23,8.352995|3.000000|1.000000,0.026755094528198242,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,49504813056.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,24,8.352995|3.000000|1.000000,0.026314973831176758,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,101458231296.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,25,8.352995|3.000000|1.000000,0.026494979858398438,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,86437158912.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,26,8.352995|3.000000|1.000000,0.026305437088012695,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,117243518976.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,27,8.352995|3.000000|1.000000,0.0263211727142334,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,63951974400.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,28,8.352995|3.000000|1.000000,0.026870012283325195,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,74385661952.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,29,8.352995|3.000000|1.000000,0.026477336883544922,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,82747162624.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,30,8.352995|3.000000|1.000000,0.027243614196777344,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,69683142656.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,31,8.352995|3.000000|1.000000,0.026026248931884766,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,69687402496.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,32,8.352995|3.000000|1.000000,0.02629828453063965,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,74941349888.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,33,8.352995|3.000000|1.000000,0.026662588119506836,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,95823331328.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,34,8.352995|3.000000|1.000000,0.026354312896728516,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,90723016704.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,35,8.352995|3.000000|1.000000,0.026033639907836914,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,35485499392.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,36,8.352995|3.000000|1.000000,0.027588367462158203,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,93265641472.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,37,8.352995|3.000000|1.000000,0.026294231414794922,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,76844154880.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,38,8.352995|3.000000|1.000000,0.025356531143188477,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,100835221504.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,39,8.352995|3.000000|1.000000,0.026521921157836914,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,100352311296.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,40,8.352995|3.000000|1.000000,0.0259552001953125,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,48249585664.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,41,8.352995|3.000000|1.000000,0.026835203170776367,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,92219260928.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,42,8.352995|3.000000|1.000000,0.026254892349243164,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,74103783424.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,43,8.352995|3.000000|1.000000,0.027637004852294922,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,97184006144.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,44,8.352995|3.000000|1.000000,0.026324987411499023,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,88159993856.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,45,8.352995|3.000000|1.000000,0.0264890193939209,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,107675328512.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,46,8.352995|3.000000|1.000000,0.027127742767333984,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,89436078080.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,47,8.352995|3.000000|1.000000,0.026837825775146484,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,96484540416.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,48,8.352995|3.000000|1.000000,0.026326417922973633,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,28922710016.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,49,8.352995|3.000000|1.000000,0.026912689208984375,3.0,9.422042|3.000000|1.000000,8.352995|3.000000|1.000000,9.422042|3.000000|1.000000,3,54981275648.000000,N/A,2,5
