MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,15,4.585071|3.000000,0.018913984298706055,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,69925101568.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,16,4.585071|3.000000,0.0195157527923584,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,87145062400.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,17,4.585071|3.000000,0.05937075614929199,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,121640673280.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,18,4.585071|3.000000,0.01948261260986328,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,64259497984.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,19,4.585071|3.000000,0.018392562866210938,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,40152776.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,20,4.585071|3.000000,0.019069433212280273,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,70124298240.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,21,4.585071|3.000000,0.019586801528930664,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,90595639296.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,22,4.585071|3.000000,0.01900625228881836,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,130431442944.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,23,4.585071|3.000000,0.01891303062438965,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,49937469440.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,24,4.585071|3.000000,0.019636154174804688,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,86276333568.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,25,4.585071|3.000000,0.019690990447998047,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,132312702976.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,26,4.585071|3.000000,0.020496129989624023,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,82719948800.000000,N/A,1,5
