MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,31,4.633979|3.000000,5.318108797073364,3.0,4.337965|3.000000,4.329657|9.000000,9,0.000315,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,32,4.633979|3.000000,5.335651159286499,3.0,4.337965|3.000000,4.329657|9.000000,9,0.000315,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,33,4.633979|3.000000,5.247816801071167,3.0,4.337965|3.000000,4.329657|9.000000,9,0.000315,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,34,4.633979|3.000000,5.355041980743408,3.0,4.337965|3.000000,4.329657|9.000000,9,0.000315,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,35,4.633979|3.000000,5.297934055328369,3.0,4.337965|3.000000,4.329657|9.000000,9,0.000315,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,36,4.633979|3.000000,5.224692106246948,3.0,4.337965|3.000000,4.329657|9.000000,9,0.000315,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,37,4.633979|3.000000,5.382384777069092,3.0,4.337965|3.000000,4.329657|9.000000,9,0.000315,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,38,4.633979|3.000000,5.30938982963562,3.0,4.337965|3.000000,4.329657|9.000000,9,0.000315,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,39,4.633979|3.000000,5.13640284538269,3.0,4.337965|3.000000,4.329657|9.000000,9,0.000315,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,40,4.633979|3.000000,5.248660326004028,3.0,4.337965|3.000000,4.329657|9.000000,9,0.000315,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,41,4.633979|3.000000,5.457316875457764,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,42,4.633979|3.000000,5.249574184417725,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,43,4.633979|3.000000,5.328559160232544,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
