MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,23,6.970441|7.000000|2.000000,0.026564836502075195,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,64433356800.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,24,6.970441|7.000000|2.000000,0.026742935180664062,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,87133159424.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,25,6.970441|7.000000|2.000000,0.02663898468017578,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,36804714496.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,26,6.970441|7.000000|2.000000,0.02622222900390625,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,112487424000.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,27,6.970441|7.000000|2.000000,0.025979280471801758,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,28508686336.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,28,6.970441|7.000000|2.000000,0.02704763412475586,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,56946405376.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,29,6.970441|7.000000|2.000000,0.02625131607055664,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,82875514880.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,30,6.970441|7.000000|2.000000,0.027406930923461914,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,102292774912.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,31,6.970441|7.000000|2.000000,0.026157855987548828,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,51406692352.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,32,6.970441|7.000000|2.000000,0.026399612426757812,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,57871781888.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,33,6.970441|7.000000|2.000000,0.026723623275756836,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,64081047552.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,34,6.970441|7.000000|2.000000,0.02627253532409668,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,100290822144.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,35,6.970441|7.000000|2.000000,0.025979280471801758,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,33550645248.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,36,6.970441|7.000000|2.000000,0.027452468872070312,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,93205118976.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,37,6.970441|7.000000|2.000000,0.026527881622314453,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,76068610048.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,38,6.970441|7.000000|2.000000,0.025308609008789062,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,99665633280.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,39,6.970441|7.000000|2.000000,0.026498794555664062,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,116091371520.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,40,6.970441|7.000000|2.000000,0.0257570743560791,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,50021625856.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,41,6.970441|7.000000|2.000000,0.026866912841796875,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,118519275520.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,42,6.970441|7.000000|2.000000,0.026093482971191406,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,35564462080.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,43,6.970441|7.000000|2.000000,0.027411460876464844,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,97191149568.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,44,6.970441|7.000000|2.000000,0.026259422302246094,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,104761393152.000000,N/A,2,5
