MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,26,4.598747|3.000000,0.02055644989013672,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,96116031488.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,27,4.598747|3.000000,0.0189054012298584,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,64496148480.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,28,4.598747|3.000000,0.01955723762512207,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,105851576320.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,29,4.598747|3.000000,0.018878936767578125,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,49945169920.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,30,4.598747|3.000000,0.060182809829711914,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,99498352640.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,31,4.598747|3.000000,0.01877284049987793,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,186985792.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,32,4.598747|3.000000,0.019330978393554688,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,70533029888.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,33,4.598747|3.000000,0.01961994171142578,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,100233003008.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,34,4.598747|3.000000,0.019527912139892578,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,127989407744.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,35,4.598747|3.000000,0.019954204559326172,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,74257637376.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,36,4.598747|3.000000,0.019750118255615234,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,110374518784.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,37,4.598747|3.000000,0.020154953002929688,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,99778658304.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,38,4.598747|3.000000,0.019214153289794922,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,99094691840.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,39,4.598747|3.000000,0.018414020538330078,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,66898444288.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,40,4.598747|3.000000,0.01999831199645996,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,152751456256.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,41,4.598747|3.000000,0.01877880096435547,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,133028773888.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,42,4.598747|3.000000,0.019136667251586914,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,126040834048.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,43,4.598747|3.000000,0.01988983154296875,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,121543802880.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,44,4.598747|3.000000,0.01918816566467285,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,93560651776.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,45,4.598747|3.000000,0.01932048797607422,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,79388753920.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,46,4.598747|3.000000,0.019141435623168945,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,61822550016.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,47,4.598747|3.000000,0.019419193267822266,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,100966154240.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,48,4.598747|3.000000,0.020310163497924805,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,117624643584.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,49,4.598747|3.000000,0.019278287887573242,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,76238987264.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,50,4.598747|3.000000,0.01997232437133789,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,80359858176.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,51,4.598747|3.000000,0.018825769424438477,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,70533668864.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,52,4.598747|3.000000,0.01932239532470703,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,71614554112.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,53,4.598747|3.000000,0.019992589950561523,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,130616868864.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,54,4.598747|3.000000,0.018950700759887695,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,86305398784.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,55,4.598747|3.000000,0.019550800323486328,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,86277185536.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,56,4.598747|3.000000,0.01904892921447754,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,103548715008.000000,N/A,1,5
