MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,31,4.484513|3.000000,5.342991828918457,3.0,4.688949|3.000000,4.688949|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,32,4.484513|3.000000,5.135999917984009,3.0,4.688949|3.000000,4.688949|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,33,4.484513|3.000000,5.175493001937866,3.0,4.688949|3.000000,4.688949|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,34,4.484513|3.000000,5.185807943344116,3.0,4.688949|3.000000,4.688949|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,35,4.484513|3.000000,5.383181810379028,3.0,4.688949|3.000000,4.688949|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,36,4.484513|3.000000,5.167680740356445,3.0,4.688949|3.000000,4.688949|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,37,4.484513|3.000000,5.185892105102539,3.0,4.688949|3.000000,4.688949|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,38,4.484513|3.000000,5.373561859130859,3.0,4.688949|3.000000,4.688949|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,39,4.484513|3.000000,5.110395193099976,3.0,4.688949|3.000000,4.688949|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,40,4.484513|3.000000,5.214776992797852,3.0,4.688949|3.000000,4.688949|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,41,4.484513|3.000000,5.547598123550415,3.0,4.688949|3.000000,4.688949|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,42,4.484513|3.000000,5.366079092025757,3.0,4.688949|3.000000,4.688949|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,43,4.484513|3.000000,5.39405369758606,3.0,4.688949|3.000000,4.688949|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,44,4.484513|3.000000,5.257479906082153,3.0,4.688949|3.000000,4.688949|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,45,4.484513|3.000000,5.367794990539551,3.0,4.688949|3.000000,4.688949|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,46,4.484513|3.000000,5.273137807846069,3.0,4.688949|3.000000,4.688949|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,47,4.484513|3.000000,5.27776312828064,3.0,4.688949|3.000000,4.688949|3.000000,3,0.000000,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,48,4.484513|3.000000,5.211283922195435,3.0,4.688949|3.000000,4.688949|3.000000,3,0.000000,N/A,5
