MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,11,2227.570068|7.000000|1.000000,0.1447892189025879,7.0,1672.359497|7.000000|1.000000,2227.570068|7.000000|1.000000,1672.359497|7.000000|1.000000,7,60789096448.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,12,2227.570068|7.000000|1.000000,0.12388229370117188,7.0,1672.359497|7.000000|1.000000,2227.570068|7.000000|1.000000,1672.359497|7.000000|1.000000,7,52441006080.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,13,2227.570068|7.000000|1.000000,0.05441617965698242,7.0,1672.359497|7.000000|1.000000,2227.570068|7.000000|1.000000,1672.359497|7.000000|1.000000,7,63374041088.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,14,2227.570068|7.000000|1.000000,0.1252574920654297,7.0,1672.359497|7.000000|1.000000,2227.570068|7.000000|1.000000,1672.359497|7.000000|1.000000,7,72999706624.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,15,2227.570068|7.000000|1.000000,0.12575340270996094,7.0,1672.359497|7.000000|1.000000,2227.570068|7.000000|1.000000,1672.359497|7.000000|1.000000,7,117911.968750,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,16,2160.634766|7.000000|0.000000,0.0637667179107666,7.0,1658.560913|7.000000|0.000000,2160.634766|7.000000|0.000000,1658.560913|7.000000|0.000000,7,46244904960.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,17,2160.634766|7.000000|0.000000,0.12446808815002441,7.0,1658.560913|7.000000|0.000000,2160.634766|7.000000|0.000000,1658.560913|7.000000|0.000000,7,38558638080.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,18,2160.634766|7.000000|0.000000,0.1127009391784668,7.0,1658.560913|7.000000|0.000000,2160.634766|7.000000|0.000000,1658.560913|7.000000|0.000000,7,45789188096.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,19,2160.634766|7.000000|0.000000,0.12543392181396484,7.0,1658.560913|7.000000|0.000000,2160.634766|7.000000|0.000000,1658.560913|7.000000|0.000000,7,65998839808.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,20,2160.634766|7.000000|0.000000,0.11915969848632812,7.0,1658.560913|7.000000|0.000000,2160.634766|7.000000|0.000000,1658.560913|7.000000|0.000000,7,66868334592.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,21,2152.517090|7.000000|1.000000,0.06713247299194336,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,49937465344.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,22,2152.517090|7.000000|1.000000,0.06780529022216797,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,83123.609375,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,23,2152.517090|7.000000|1.000000,0.13634943962097168,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,65695506432.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,24,2152.517090|7.000000|1.000000,0.061074018478393555,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,72077991936.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,25,2152.517090|7.000000|1.000000,0.1081857681274414,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,70016385024.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,26,2152.517090|7.000000|1.000000,0.12335658073425293,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,49617600512.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,27,2152.517090|7.000000|1.000000,0.1274549961090088,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,86268297216.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,28,2152.517090|7.000000|1.000000,0.10531067848205566,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,51569459200.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,29,2152.517090|7.000000|1.000000,0.11940526962280273,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,39337136128.000000,N/A,5
