MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,0,19.979019|3.000000|0.000000,0.9790670871734619,3.0,19.357656|3.000000|0.000000,19.357656|3.000000|0.000000,3,242826543104.000000,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,1,10.697757|3.000000|0.000000,3.933957099914551,3.0,10.677161|3.000000|0.000000,8.041553|3.000000|2.000000,3,19505.300781,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,2,10.403507|3.000000|0.000000,3.762849807739258,3.0,9.866967|3.000000|0.000000,8.041553|3.000000|2.000000,3,19346754.000000,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,3,9.378613|3.000000|0.000000,3.7555809020996094,3.0,9.129288|3.000000|0.000000,8.041553|3.000000|2.000000,3,19346726.000000,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,4,9.378613|3.000000|0.000000,3.8100311756134033,3.0,9.129288|3.000000|0.000000,7.656583|3.000000|1.000000,3,4.625606,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,5,9.378613|3.000000|0.000000,3.836333990097046,3.0,9.129288|3.000000|0.000000,7.656583|3.000000|1.000000,3,1.867795,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,6,9.378613|3.000000|0.000000,3.9175076484680176,3.0,9.129288|3.000000|0.000000,7.656583|3.000000|1.000000,3,1.342852,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,7,9.378613|3.000000|0.000000,4.014044284820557,3.0,9.129288|3.000000|0.000000,7.656583|3.000000|1.000000,3,0.753537,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,8,9.378613|3.000000|0.000000,4.27720308303833,3.0,9.129288|3.000000|0.000000,7.656583|3.000000|1.000000,3,0.570588,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,9,9.378613|3.000000|0.000000,4.774032831192017,3.0,9.129288|3.000000|0.000000,7.656583|3.000000|1.000000,3,0.462852,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,10,9.378613|3.000000|0.000000,5.980695724487305,3.0,9.129288|3.000000|0.000000,7.656583|3.000000|1.000000,3,0.474452,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,11,9.378613|3.000000|0.000000,5.905822992324829,3.0,9.129288|3.000000|0.000000,7.656583|3.000000|1.000000,3,0.539769,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,12,9.378613|3.000000|0.000000,5.305895090103149,3.0,9.129288|3.000000|0.000000,7.656583|3.000000|1.000000,3,0.558818,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,13,9.378613|3.000000|0.000000,4.993768930435181,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.602988,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,14,9.378613|3.000000|0.000000,4.209107875823975,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.625111,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,15,9.378613|3.000000|0.000000,4.05367112159729,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.641176,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,16,9.378613|3.000000|0.000000,4.151332139968872,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.672190,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,17,9.378613|3.000000|0.000000,4.158921003341675,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.668182,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,18,9.378613|3.000000|0.000000,4.124730825424194,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.536014,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,19,9.378613|3.000000|0.000000,3.9757189750671387,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.469015,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,20,9.378613|3.000000|0.000000,4.184378147125244,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.505704,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,21,9.378613|3.000000|0.000000,4.135382890701294,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.531486,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,22,9.378613|3.000000|0.000000,4.116602897644043,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.557673,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,23,9.378613|3.000000|0.000000,4.239162921905518,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.576977,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,24,9.378613|3.000000|0.000000,4.263578176498413,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.520456,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,25,9.378613|3.000000|0.000000,4.361440896987915,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.349028,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,26,9.378613|3.000000|0.000000,4.533953905105591,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179913,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,27,9.378613|3.000000|0.000000,4.713762044906616,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.180646,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,28,9.378613|3.000000|0.000000,4.782991886138916,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.181160,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,29,9.378613|3.000000|0.000000,5.012594938278198,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.180831,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,30,9.378613|3.000000|0.000000,5.758606195449829,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,31,9.378613|3.000000|0.000000,6.873785018920898,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,32,9.378613|3.000000|0.000000,7.019081115722656,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,33,9.378613|3.000000|0.000000,7.084441661834717,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,34,9.378613|3.000000|0.000000,6.948211908340454,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,35,9.378613|3.000000|0.000000,7.068204164505005,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,36,9.378613|3.000000|0.000000,6.922800064086914,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,37,9.378613|3.000000|0.000000,6.810463905334473,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,38,9.378613|3.000000|0.000000,6.816970109939575,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,39,9.378613|3.000000|0.000000,6.727804899215698,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,40,9.378613|3.000000|0.000000,7.001943111419678,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
MOGP_NSGAII,1e600e18-e970-11f0-b3d7-6e001b3eef54,Boston,74,41,9.378613|3.000000|0.000000,6.930849075317383,3.0,9.129288|3.000000|0.000000,6.881801|5.000000|2.000000,5,0.179400,N/A,5
