MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,0,2270.786621|3.000000,1.1550688743591309,3.0,2548.281738|3.000000,N/A,N/A,0,160188727296.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,1,2165.122070|3.000000,0.024280071258544922,3.0,2403.723877|3.000000,2165.122070|3.000000,2403.723877|3.000000,3,54323933184.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,2,2129.489746|3.000000,0.028324127197265625,3.0,2323.578125|3.000000,2129.489746|3.000000,2323.578125|3.000000,3,53413154816.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,3,2129.489746|3.000000,0.02784419059753418,3.0,2323.578125|3.000000,2129.489746|3.000000,2323.578125|3.000000,3,56776056832.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,4,2141.406250|3.000000,0.027487993240356445,3.0,2315.065674|3.000000,2130.749268|5.000000,2200.430664|5.000000,5,26563663872.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,5,2151.145264|3.000000,0.024827957153320312,3.0,2346.955078|3.000000,2151.145264|3.000000,2346.955078|3.000000,3,19944316928.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,6,2118.367188|3.000000,0.028047800064086914,3.0,2257.759033|3.000000,2118.367188|3.000000,2257.759033|3.000000,3,82759229440.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,7,2129.489746|3.000000,0.024847745895385742,3.0,2323.578125|3.000000,2129.489746|3.000000,2323.578125|3.000000,3,68436783104.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,8,2141.406250|3.000000,0.028015851974487305,3.0,2315.065674|3.000000,2141.406250|3.000000,2315.065674|3.000000,3,49823096832.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,9,2118.367188|3.000000,0.025106191635131836,3.0,2257.759033|3.000000,2118.367188|3.000000,2257.759033|3.000000,3,3613991168.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,10,2118.367188|3.000000,0.019281864166259766,3.0,2257.759033|3.000000,2118.367188|3.000000,2257.759033|3.000000,3,68080439296.000000,N/A,5
MOGP_GENERATIONAL,9e4f11ae-ef98-11f0-82d9-6e001b3eef54,Toxicity,74,11,2118.367188|3.000000,0.019411087036132812,3.0,2257.759033|3.000000,2118.367188|3.000000,2257.759033|3.000000,3,240173.875000,N/A,5
