MOGP_NSGAII,1275532a-e81b-11f0-95ab-6e001b3eef54,Boston,74,0,10.140005|3.000000,0.828120231628418,3.0,10.005688|3.000000,10.005688|3.000000,3,242627903488.000000,N/A,5
MOGP_NSGAII,1275532a-e81b-11f0-95ab-6e001b3eef54,Boston,74,1,10.140005|3.000000,3.2263259887695312,3.0,10.005688|3.000000,10.005688|3.000000,3,3.506836,N/A,5
MOGP_NSGAII,1275532a-e81b-11f0-95ab-6e001b3eef54,Boston,74,2,10.140005|3.000000,3.11181902885437,3.0,10.005688|3.000000,10.005688|3.000000,3,3.300171,N/A,5
MOGP_NSGAII,1275532a-e81b-11f0-95ab-6e001b3eef54,Boston,74,3,10.131237|3.000000,3.1243908405303955,3.0,10.447217|3.000000,10.447217|3.000000,3,2.636706,N/A,5
MOGP_NSGAII,1275532a-e81b-11f0-95ab-6e001b3eef54,Boston,74,4,10.131237|3.000000,3.160088062286377,3.0,10.447217|3.000000,9.181058|5.000000,5,2.127954,N/A,5
MOGP_NSGAII,1275532a-e81b-11f0-95ab-6e001b3eef54,Boston,74,5,10.131237|3.000000,3.169081926345825,3.0,10.447217|3.000000,8.788933|5.000000,5,1.611169,N/A,5
MOGP_NSGAII,1275532a-e81b-11f0-95ab-6e001b3eef54,Boston,74,6,10.131237|3.000000,3.237840175628662,3.0,10.447217|3.000000,8.788933|5.000000,5,0.812809,N/A,5
MOGP_NSGAII,1275532a-e81b-11f0-95ab-6e001b3eef54,Boston,74,7,10.131237|3.000000,3.259212017059326,3.0,10.447217|3.000000,8.788933|5.000000,5,0.458752,N/A,5
MOGP_NSGAII,1275532a-e81b-11f0-95ab-6e001b3eef54,Boston,74,8,10.131237|3.000000,3.364331007003784,3.0,10.447217|3.000000,8.788933|5.000000,5,0.332410,N/A,5
MOGP_NSGAII,1275532a-e81b-11f0-95ab-6e001b3eef54,Boston,74,9,10.131237|3.000000,3.561069965362549,3.0,10.447217|3.000000,8.788933|5.000000,5,0.272431,N/A,5
MOGP_NSGAII,1275532a-e81b-11f0-95ab-6e001b3eef54,Boston,74,10,10.131237|3.000000,4.05965518951416,3.0,10.447217|3.000000,8.788933|5.000000,5,0.157412,N/A,5
MOGP_NSGAII,1275532a-e81b-11f0-95ab-6e001b3eef54,Boston,74,11,10.131237|3.000000,4.6692421436309814,3.0,10.447217|3.000000,8.788933|5.000000,5,0.101835,N/A,5
