MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,0,9.519447|3.000000|0.000000,0.9530062675476074,3.0,9.538762|3.000000|0.000000,9.538762|3.000000|0.000000,3,244280934400.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,1,4.492990|3.000000|1.000000,0.02428603172302246,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,120220057600.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,2,4.492990|3.000000|1.000000,0.022644996643066406,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,73026387968.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,3,4.492990|3.000000|1.000000,0.024871826171875,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,90572800000.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,4,4.492990|3.000000|1.000000,0.02251601219177246,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,70787301376.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,5,4.492990|3.000000|1.000000,0.021657943725585938,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,90519183360.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,6,4.492990|3.000000|1.000000,0.022270917892456055,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,112144080896.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,7,4.492990|3.000000|1.000000,0.02207183837890625,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,115480010752.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,8,4.492990|3.000000|1.000000,0.02129197120666504,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,35048935424.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,9,4.492990|3.000000|1.000000,0.021901845932006836,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,65038258176.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,10,4.492990|3.000000|1.000000,0.022117137908935547,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,92553936896.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,11,4.492990|3.000000|1.000000,0.021014928817749023,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,102167648.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,12,4.492990|3.000000|1.000000,0.021491050720214844,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,70533668864.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,13,4.492990|3.000000|1.000000,0.022317171096801758,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,84386758656.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,14,4.492990|3.000000|1.000000,0.021760940551757812,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,53635297280.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,15,4.492990|3.000000|1.000000,0.021728992462158203,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,115464970240.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,16,4.492990|3.000000|1.000000,0.020261049270629883,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,49948069888.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,17,4.492990|3.000000|1.000000,0.0229489803314209,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,121551839232.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,18,4.492990|3.000000|1.000000,0.022166013717651367,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,99497467904.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,19,4.492990|3.000000|1.000000,0.02097606658935547,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,98801557504.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,20,4.492990|3.000000|1.000000,0.021444082260131836,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,70574292992.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,21,4.492990|3.000000|1.000000,0.022248029708862305,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,114257371136.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,22,4.492990|3.000000|1.000000,0.021959781646728516,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,89925320704.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,23,4.492990|3.000000|1.000000,0.021619796752929688,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,105314361344.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,24,4.492990|3.000000|1.000000,0.02225494384765625,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,108317810688.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,25,4.492990|3.000000|1.000000,0.021259069442749023,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,115798073344.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,26,4.492990|3.000000|1.000000,0.02141404151916504,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,103189471232.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,27,4.492990|3.000000|1.000000,0.02234196662902832,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,74530119680.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,28,4.492990|3.000000|1.000000,0.021418094635009766,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,105310527488.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,29,4.492990|3.000000|1.000000,0.02272820472717285,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,105204744192.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,30,4.492990|3.000000|1.000000,0.022324800491333008,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,62506340352.000000,N/A,5
MOGP_GENERATIONAL,4210d5b8-e7e0-11f0-a37d-6e001b3eef54,Cooling,74,31,4.492990|3.000000|1.000000,0.022108078002929688,3.0,4.670046|3.000000|1.000000,4.670046|3.000000|1.000000,3,86871875584.000000,N/A,5
