MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,23,4.577525|3.000000|1.000000,0.026822328567504883,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,92943769600.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,24,4.577525|3.000000|1.000000,0.02734661102294922,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,93834788864.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,25,4.577525|3.000000|1.000000,0.026294231414794922,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,93249945600.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,26,4.577525|3.000000|1.000000,0.02686285972595215,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,106813693952.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,27,4.577525|3.000000|1.000000,0.02710103988647461,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,55666827264.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,28,4.577525|3.000000|1.000000,0.026079893112182617,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,70533685248.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,29,4.577525|3.000000|1.000000,0.027742624282836914,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,113386594304.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,30,4.577525|3.000000|1.000000,0.027143001556396484,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,68942782464.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,31,4.577525|3.000000|1.000000,0.027541637420654297,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,82611822592.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,32,4.577525|3.000000|1.000000,0.026570796966552734,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,114669674496.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,33,4.577525|3.000000|1.000000,0.025976896286010742,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,12559316992.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,34,4.577525|3.000000|1.000000,0.026581764221191406,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,109828481024.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,35,4.577525|3.000000|1.000000,0.028208255767822266,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,122167566336.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,36,4.577525|3.000000|1.000000,0.02696847915649414,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,95451226112.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,37,4.577525|3.000000|1.000000,0.026508569717407227,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,96346480640.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,38,4.577525|3.000000|1.000000,0.026643991470336914,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,103175331840.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,39,4.577525|3.000000|1.000000,0.026121139526367188,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,93794811904.000000,N/A,2,5
