MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,11,8.148417|7.000000|1.000000,0.026059389114379883,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,71299825664.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,12,8.148417|7.000000|1.000000,0.0263979434967041,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,49937469440.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,13,8.148417|7.000000|1.000000,0.026594877243041992,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,65653485568.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,14,8.148417|7.000000|1.000000,0.02719736099243164,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,44455346176.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,15,8.148417|7.000000|1.000000,0.026064157485961914,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,44807151616.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,16,8.148417|7.000000|1.000000,0.026098966598510742,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,66155565056.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,17,8.148417|7.000000|1.000000,0.02683544158935547,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,75152916480.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,18,8.148417|7.000000|1.000000,0.026039600372314453,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,66380587008.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,19,8.148417|7.000000|1.000000,0.02645111083984375,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,58690924544.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,20,8.148417|7.000000|1.000000,0.025460481643676758,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,42504060928.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,21,8.148417|7.000000|1.000000,0.026598453521728516,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,66695217152.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,22,8.148417|7.000000|1.000000,0.026352643966674805,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,80295567360.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,23,8.148417|7.000000|1.000000,0.026745319366455078,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,48864169984.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,24,8.148417|7.000000|1.000000,0.026088237762451172,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,100273184768.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,25,8.148417|7.000000|1.000000,0.06498217582702637,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,85260771328.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,26,8.148417|7.000000|1.000000,0.026349544525146484,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,115840245760.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,27,8.148417|7.000000|1.000000,0.026259183883666992,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,64444186624.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,28,8.148417|7.000000|1.000000,0.026970863342285156,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,74078453760.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,29,8.148417|7.000000|1.000000,0.026577234268188477,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,82090909696.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,30,8.148417|7.000000|1.000000,0.027303457260131836,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,69027250176.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,31,8.148417|7.000000|1.000000,0.025981426239013672,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,68831485952.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,32,8.148417|7.000000|1.000000,0.026497602462768555,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,74616471552.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,33,8.148417|7.000000|1.000000,0.02669811248779297,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,95519457280.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,34,8.148417|7.000000|1.000000,0.026372671127319336,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,89707683840.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,35,8.148417|7.000000|1.000000,0.025853395462036133,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,33527736320.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,36,8.148417|7.000000|1.000000,0.027350664138793945,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,68111958016.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,37,8.148417|7.000000|1.000000,0.026463747024536133,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,56700084224.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,38,8.148417|7.000000|1.000000,0.025588274002075195,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,85863743488.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,39,8.148417|7.000000|1.000000,0.025969743728637695,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,88205787136.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,40,8.148417|7.000000|1.000000,0.02620553970336914,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,152.511017,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,41,8.148417|7.000000|1.000000,0.0260775089263916,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,90920148992.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,42,8.148417|7.000000|1.000000,0.026465892791748047,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,43016552448.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,43,8.148417|7.000000|1.000000,0.02743077278137207,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,96601284608.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,44,8.148417|7.000000|1.000000,0.02632451057434082,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,79129493504.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,45,8.148417|7.000000|1.000000,0.026396989822387695,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,103473274880.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,46,8.148417|7.000000|1.000000,0.027404069900512695,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,117776891904.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,47,8.148417|7.000000|1.000000,0.02657604217529297,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,54259593216.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,48,8.148417|7.000000|1.000000,0.02642989158630371,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,72599625728.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,49,8.148417|7.000000|1.000000,0.027008056640625,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,77518102528.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,50,8.148417|7.000000|1.000000,0.026373863220214844,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,73671327744.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,51,8.148417|7.000000|1.000000,0.026656627655029297,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,89601368064.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,52,8.148417|7.000000|1.000000,0.026047706604003906,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,86865641472.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,53,8.148417|7.000000|1.000000,0.02673506736755371,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,90119372800.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,54,8.148417|7.000000|1.000000,0.026680469512939453,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,94365327360.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,55,8.148417|7.000000|1.000000,0.025394201278686523,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,48868016128.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,56,8.148417|7.000000|1.000000,0.02748274803161621,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,83821248512.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,57,8.148417|7.000000|1.000000,0.02591395378112793,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,86780051456.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,58,8.148417|7.000000|1.000000,0.0269773006439209,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,89182863360.000000,N/A,2,5
MOGP_GENERATIONAL,a09e173a-1562-11f1-9378-303ea725c124,Boston,74,59,8.148417|7.000000|1.000000,0.027274608612060547,7.0,7.470492|7.000000|1.000000,8.148417|7.000000|1.000000,7.470492|7.000000|1.000000,7,60994203648.000000,N/A,2,5
