MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,11,8.146890|7.000000|1.000000,0.025885343551635742,7.0,7.474372|7.000000|1.000000,8.146890|7.000000|1.000000,7.474372|7.000000|1.000000,7,62792650752.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,12,8.146890|7.000000|1.000000,0.026057720184326172,7.0,7.474372|7.000000|1.000000,8.146890|7.000000|1.000000,7.474372|7.000000|1.000000,7,101066203136.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,13,8.146890|7.000000|1.000000,0.02645421028137207,7.0,7.474372|7.000000|1.000000,8.146890|7.000000|1.000000,7.474372|7.000000|1.000000,7,58601766912.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,14,8.146890|7.000000|1.000000,0.0271756649017334,7.0,7.474372|7.000000|1.000000,8.146890|7.000000|1.000000,7.474372|7.000000|1.000000,7,78832861184.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,15,8.146890|7.000000|1.000000,0.026577472686767578,7.0,7.474372|7.000000|1.000000,8.146890|7.000000|1.000000,7.474372|7.000000|1.000000,7,82230231040.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,16,8.146890|7.000000|1.000000,0.026028871536254883,7.0,7.474372|7.000000|1.000000,8.146890|7.000000|1.000000,7.474372|7.000000|1.000000,7,1220.518799,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,17,8.146890|7.000000|1.000000,0.026928186416625977,7.0,7.474372|7.000000|1.000000,8.146890|7.000000|1.000000,7.474372|7.000000|1.000000,7,73757917184.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,18,8.146890|7.000000|1.000000,0.026190519332885742,7.0,7.474372|7.000000|1.000000,8.146890|7.000000|1.000000,7.474372|7.000000|1.000000,7,80028549120.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,19,8.146890|7.000000|1.000000,0.026292800903320312,7.0,7.474372|7.000000|1.000000,8.146890|7.000000|1.000000,7.474372|7.000000|1.000000,7,56692465664.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,20,8.146890|7.000000|1.000000,0.025620460510253906,7.0,7.474372|7.000000|1.000000,8.146890|7.000000|1.000000,7.474372|7.000000|1.000000,7,49585287168.000000,N/A,2,5
