MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,26,2043.590576|5.000000,0.021801471710205078,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,52298477568.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,27,2043.590576|5.000000,0.020654678344726562,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,28569276416.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,28,2043.590576|5.000000,0.022207975387573242,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,45691420672.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,29,2043.590576|5.000000,0.020982742309570312,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,31745396736.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,30,2043.590576|5.000000,0.02113199234008789,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,3968532992.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,31,2043.590576|5.000000,0.02192831039428711,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,73764741120.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,32,2043.590576|5.000000,0.021904945373535156,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,69752348672.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,33,2043.590576|5.000000,0.02176976203918457,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,57423917056.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,34,2043.590576|5.000000,0.02436041831970215,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,53337452544.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,35,2043.590576|5.000000,0.021647930145263672,5.0,2130.472900|5.000000,2043.590576|5.000000,2130.472900|5.000000,5,49443196928.000000,N/A,2,5
