MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,15,4.534750|3.000000,0.01886296272277832,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,65848205312.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,16,4.534750|3.000000,0.019573450088500977,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,98731540480.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,17,4.534750|3.000000,0.020095348358154297,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,123371151360.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,18,4.534750|3.000000,0.019652605056762695,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,99498762240.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,19,4.534750|3.000000,0.01850152015686035,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,49937469440.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,20,4.534750|3.000000,0.019400835037231445,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,78655479808.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,21,4.534750|3.000000,0.01943683624267578,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,93409918976.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,22,4.534750|3.000000,0.019255876541137695,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,108402565120.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,23,4.534750|3.000000,0.018765687942504883,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,95673319424.000000,N/A,1,5
MOGP_GENERATIONAL,08463dc6-144c-11f1-9378-303ea725c124,Cooling,74,24,4.534750|3.000000,0.019501924514770508,3.0,4.575253|3.000000,4.534750|3.000000,4.575253|3.000000,3,111038382080.000000,N/A,1,5
