MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,27,4.389738|3.000000,0.018916606903076172,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,70105481216.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,28,4.389738|3.000000,0.019937515258789062,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,79711043584.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,29,4.389738|3.000000,0.01878666877746582,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,153493200.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,30,4.389738|3.000000,0.019083499908447266,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,50139656192.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,31,4.389738|3.000000,0.018882036209106445,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,80715972608.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,32,4.389738|3.000000,0.019212007522583008,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,55495065600.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,33,4.389738|3.000000,0.020045757293701172,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,72550883328.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,34,4.389738|3.000000,0.01974201202392578,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,87524122624.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,35,4.389738|3.000000,0.019257545471191406,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,96551845888.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,36,4.389738|3.000000,0.019669055938720703,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,86277185536.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,37,4.389738|3.000000,0.019933700561523438,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,103790960640.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,38,4.389738|3.000000,0.019310951232910156,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,92015222784.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,39,4.389738|3.000000,0.018520832061767578,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,73569042432.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,40,4.389738|3.000000,0.01917743682861328,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,126657249280.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,41,4.389738|3.000000,0.018819332122802734,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,117720670208.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,42,4.389738|3.000000,0.01907038688659668,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,73314615296.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,43,4.389738|3.000000,0.020041227340698242,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,121631752192.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,44,4.389738|3.000000,0.019308090209960938,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,49937346560.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,45,4.389738|3.000000,0.019358158111572266,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,106113998848.000000,N/A,1,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,46,4.389738|3.000000,0.01883411407470703,3.0,4.892997|3.000000,4.389738|3.000000,4.892997|3.000000,3,49937473536.000000,N/A,1,5
