MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,11,4.605806|3.000000|1.000000,0.026357650756835938,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,49945255936.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,12,4.605806|3.000000|1.000000,0.026415586471557617,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,82648866816.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,13,4.605806|3.000000|1.000000,0.027532339096069336,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,102091923456.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,14,4.605806|3.000000|1.000000,0.026711702346801758,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,98614018048.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,15,4.605806|3.000000|1.000000,0.026892900466918945,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,53505593344.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,16,4.605806|3.000000|1.000000,0.025888681411743164,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,99497861120.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,17,4.605806|3.000000|1.000000,0.027980804443359375,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,95360139264.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,18,4.605806|3.000000|1.000000,0.027196407318115234,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,111101517824.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,19,4.605806|3.000000|1.000000,0.026041269302368164,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,106121784.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,20,4.605806|3.000000|1.000000,0.0267794132232666,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,49937465344.000000,N/A,2,5
