MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,40,4.659552|3.000000|1.000000,0.026878833770751953,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,135211155456.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,41,4.659552|3.000000|1.000000,0.026558637619018555,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,146197594112.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,42,4.659552|3.000000|1.000000,0.026380062103271484,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,87427579904.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,43,4.659552|3.000000|1.000000,0.026615142822265625,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,104345165824.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,44,4.659552|3.000000|1.000000,0.02569723129272461,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,58530783232.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,45,4.659552|3.000000|1.000000,0.02642035484313965,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,131117056000.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,46,4.659552|3.000000|1.000000,0.02739262580871582,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,120826880000.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,47,4.659552|3.000000|1.000000,0.02660989761352539,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,97675649024.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,48,4.659552|3.000000|1.000000,0.027268648147583008,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,98731573248.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,49,4.659552|3.000000|1.000000,0.02711629867553711,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,119829815296.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,50,4.659552|3.000000|1.000000,0.02632927894592285,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,83627491328.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,51,4.659552|3.000000|1.000000,0.027347087860107422,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,104279777280.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,52,4.659552|3.000000|1.000000,0.027471303939819336,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,86649184256.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,53,4.659552|3.000000|1.000000,0.026549100875854492,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,111099551744.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,54,4.659552|3.000000|1.000000,0.02692127227783203,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,96338280448.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,55,4.659552|3.000000|1.000000,0.02629399299621582,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,93192757248.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,56,4.659552|3.000000|1.000000,0.0274960994720459,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,91262926848.000000,N/A,2,5
MOGP_GENERATIONAL,25caad8c-1500-11f1-9378-303ea725c124,Cooling,74,57,4.659552|3.000000|1.000000,0.02700185775756836,3.0,4.273808|3.000000|1.000000,4.659552|3.000000|1.000000,4.273808|3.000000|1.000000,3,127536709632.000000,N/A,2,5
