MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,13,8.706382|3.000000|1.000000,0.026055097579956055,3.0,8.644923|3.000000|1.000000,8.706382|3.000000|1.000000,8.644923|3.000000|1.000000,3,55087919104.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,14,8.706382|3.000000|1.000000,0.02696990966796875,3.0,8.644923|3.000000|1.000000,8.706382|3.000000|1.000000,8.644923|3.000000|1.000000,3,75339505664.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,15,8.706382|3.000000|1.000000,0.026333332061767578,3.0,8.644923|3.000000|1.000000,8.706382|3.000000|1.000000,8.644923|3.000000|1.000000,3,62614773760.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,16,8.383423|7.000000|1.000000,0.026391029357910156,7.0,8.012194|7.000000|1.000000,8.383423|7.000000|1.000000,8.012194|7.000000|1.000000,7,28950183936.000000,N/A,3,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,17,8.383423|7.000000|1.000000,0.027096986770629883,7.0,8.012194|7.000000|1.000000,8.383423|7.000000|1.000000,8.012194|7.000000|1.000000,7,108144156672.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,18,8.383423|7.000000|1.000000,0.026119232177734375,7.0,8.012194|7.000000|1.000000,8.383423|7.000000|1.000000,8.012194|7.000000|1.000000,7,60157366272.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,19,8.383423|7.000000|1.000000,0.026098012924194336,7.0,8.012194|7.000000|1.000000,8.383423|7.000000|1.000000,8.012194|7.000000|1.000000,7,7137989632.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,20,8.383423|7.000000|1.000000,0.02559971809387207,7.0,8.012194|7.000000|1.000000,8.383423|7.000000|1.000000,8.012194|7.000000|1.000000,7,77485965312.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,21,8.383423|7.000000|1.000000,0.0273587703704834,7.0,8.012194|7.000000|1.000000,8.383423|7.000000|1.000000,8.012194|7.000000|1.000000,7,86236545024.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,22,8.383423|7.000000|1.000000,0.026477575302124023,7.0,8.012194|7.000000|1.000000,8.383423|7.000000|1.000000,8.012194|7.000000|1.000000,7,84759166976.000000,N/A,2,5
