MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,20,7.684467|7.000000|1.000000,0.02566075325012207,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,68.650749,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,21,7.684467|7.000000|1.000000,0.02694082260131836,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,67070259200.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,22,7.684467|7.000000|1.000000,0.02616429328918457,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,90047864832.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,23,7.684467|7.000000|1.000000,0.02660083770751953,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,67787628544.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,24,7.684467|7.000000|1.000000,0.02684307098388672,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,55217590272.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,25,7.684467|7.000000|1.000000,0.026666879653930664,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,81163345920.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,26,7.684467|7.000000|1.000000,0.026368141174316406,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,77232521216.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,27,7.684467|7.000000|1.000000,0.026154518127441406,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,48503463936.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,28,7.684467|7.000000|1.000000,0.02689981460571289,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,76505882624.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,29,7.684467|7.000000|1.000000,0.026509761810302734,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,48337035264.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,30,7.684467|7.000000|1.000000,0.027263879776000977,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,114216542208.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,31,7.684467|7.000000|1.000000,0.02591252326965332,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,58195361792.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,32,7.684467|7.000000|1.000000,0.026323318481445312,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,75582775296.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,33,7.684467|7.000000|1.000000,0.026551485061645508,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,96027959296.000000,N/A,2,5
