MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,46,4.559990|3.000000,5.070587158203125,3.0,4.516559|3.000000,4.226582|5.000000,5,0.016331,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,47,4.559990|3.000000,5.097179889678955,3.0,4.516559|3.000000,4.226582|5.000000,5,0.016331,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,48,4.559990|3.000000,5.187769174575806,3.0,4.516559|3.000000,4.226582|5.000000,5,0.016331,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,49,4.559990|3.000000,5.065189838409424,3.0,4.516559|3.000000,4.226582|5.000000,5,0.016331,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,50,4.559990|3.000000,5.2708189487457275,3.0,4.516559|3.000000,4.226582|5.000000,5,0.016331,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,51,4.559990|3.000000,4.9955761432647705,3.0,4.516559|3.000000,4.226582|5.000000,5,0.016331,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,52,4.559990|3.000000,5.287768840789795,3.0,4.516559|3.000000,4.226582|5.000000,5,0.016331,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,53,4.559990|3.000000,5.166035890579224,3.0,4.516559|3.000000,4.226582|5.000000,5,0.016331,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,54,4.559990|3.000000,5.03581690788269,3.0,4.516559|3.000000,4.226582|5.000000,5,0.016331,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,55,4.559990|3.000000,5.094571828842163,3.0,4.516559|3.000000,4.226582|5.000000,5,0.016331,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,56,4.559990|3.000000,5.237099885940552,3.0,4.516559|3.000000,4.226582|5.000000,5,0.016331,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,57,4.559990|3.000000,5.121795892715454,3.0,4.516559|3.000000,4.226582|5.000000,5,0.016331,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,58,4.559990|3.000000,5.22851300239563,3.0,4.516559|3.000000,4.226582|5.000000,5,0.016331,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,59,4.559990|3.000000,5.330002069473267,3.0,4.516559|3.000000,4.226582|5.000000,5,0.016331,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,60,4.559990|3.000000,5.131333112716675,3.0,4.516559|3.000000,4.226582|5.000000,5,0.016331,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,61,4.559990|3.000000,5.447664976119995,3.0,4.516559|3.000000,4.226582|5.000000,5,0.016331,N/A,5
