MOGP_GENERATIONAL,9aa6bca4-1587-11f1-9378-303ea725c124,Boston,74,0,10.084611|3.000000,0.030274391174316406,3.0,10.135233|3.000000,10.084611|3.000000,10.135233|3.000000,3,243339870208.000000,N/A,2,5
MOGP_GENERATIONAL,9aa6bca4-1587-11f1-9378-303ea725c124,Boston,74,1,10.084611|3.000000,0.022159576416015625,3.0,10.135233|3.000000,10.084611|3.000000,10.135233|3.000000,3,90125189120.000000,N/A,1,5
MOGP_GENERATIONAL,9aa6bca4-1587-11f1-9378-303ea725c124,Boston,74,2,10.084611|3.000000,0.021169185638427734,3.0,10.135233|3.000000,10.084611|3.000000,10.135233|3.000000,3,70504005632.000000,N/A,1,5
MOGP_GENERATIONAL,9aa6bca4-1587-11f1-9378-303ea725c124,Boston,74,3,9.483975|3.000000,0.020581483840942383,3.0,9.581894|3.000000,9.483975|3.000000,9.581894|3.000000,3,71706656768.000000,N/A,2,5
MOGP_GENERATIONAL,9aa6bca4-1587-11f1-9378-303ea725c124,Boston,74,4,9.483975|3.000000,0.01968979835510254,3.0,9.581894|3.000000,9.483975|3.000000,9.581894|3.000000,3,101519941632.000000,N/A,2,5
MOGP_GENERATIONAL,9aa6bca4-1587-11f1-9378-303ea725c124,Boston,74,5,9.483975|3.000000,0.057495832443237305,3.0,9.581894|3.000000,9.483975|3.000000,9.581894|3.000000,3,64701014016.000000,N/A,1,5
MOGP_GENERATIONAL,9aa6bca4-1587-11f1-9378-303ea725c124,Boston,74,6,9.483975|3.000000,0.01955127716064453,3.0,9.581894|3.000000,9.483975|3.000000,9.581894|3.000000,3,74061275136.000000,N/A,1,5
MOGP_GENERATIONAL,9aa6bca4-1587-11f1-9378-303ea725c124,Boston,74,7,9.483975|3.000000,0.019165754318237305,3.0,9.581894|3.000000,9.483975|3.000000,9.581894|3.000000,3,46807052288.000000,N/A,1,5
MOGP_GENERATIONAL,9aa6bca4-1587-11f1-9378-303ea725c124,Boston,74,8,9.483975|3.000000,0.018621206283569336,3.0,9.581894|3.000000,9.483975|3.000000,9.581894|3.000000,3,55076110336.000000,N/A,1,5
MOGP_GENERATIONAL,9aa6bca4-1587-11f1-9378-303ea725c124,Boston,74,9,7.207174|7.000000,0.019031286239624023,7.0,6.839198|7.000000,7.207174|7.000000,6.839198|7.000000,7,82887065600.000000,N/A,2,5
MOGP_GENERATIONAL,9aa6bca4-1587-11f1-9378-303ea725c124,Boston,74,10,7.207174|7.000000,0.01855945587158203,7.0,6.839198|7.000000,7.207174|7.000000,6.839198|7.000000,7,49040375808.000000,N/A,2,5
MOGP_GENERATIONAL,9aa6bca4-1587-11f1-9378-303ea725c124,Boston,74,11,7.207174|7.000000,0.01806926727294922,7.0,6.839198|7.000000,7.207174|7.000000,6.839198|7.000000,7,85276508160.000000,N/A,2,5
MOGP_GENERATIONAL,9aa6bca4-1587-11f1-9378-303ea725c124,Boston,74,12,7.207174|7.000000,0.019206762313842773,7.0,6.839198|7.000000,7.207174|7.000000,6.839198|7.000000,7,68125257728.000000,N/A,2,5
MOGP_GENERATIONAL,9aa6bca4-1587-11f1-9378-303ea725c124,Boston,74,13,7.207174|7.000000,0.019497156143188477,7.0,6.839198|7.000000,7.207174|7.000000,6.839198|7.000000,7,81137876992.000000,N/A,2,5
MOGP_GENERATIONAL,9aa6bca4-1587-11f1-9378-303ea725c124,Boston,74,14,7.207174|7.000000,0.020195484161376953,7.0,6.839198|7.000000,7.207174|7.000000,6.839198|7.000000,7,45931163648.000000,N/A,2,5
MOGP_GENERATIONAL,9aa6bca4-1587-11f1-9378-303ea725c124,Boston,74,15,7.207174|7.000000,0.018036603927612305,7.0,6.839198|7.000000,7.207174|7.000000,6.839198|7.000000,7,53420711936.000000,N/A,2,5
MOGP_GENERATIONAL,9aa6bca4-1587-11f1-9378-303ea725c124,Boston,74,16,7.207174|7.000000,0.01882791519165039,7.0,6.839198|7.000000,7.207174|7.000000,6.839198|7.000000,7,79185174528.000000,N/A,2,5
MOGP_GENERATIONAL,9aa6bca4-1587-11f1-9378-303ea725c124,Boston,74,17,7.207174|7.000000,0.019356489181518555,7.0,6.839198|7.000000,7.207174|7.000000,6.839198|7.000000,7,94486757376.000000,N/A,2,5
MOGP_GENERATIONAL,9aa6bca4-1587-11f1-9378-303ea725c124,Boston,74,18,7.207174|7.000000,0.018723726272583008,7.0,6.839198|7.000000,7.207174|7.000000,6.839198|7.000000,7,99146940416.000000,N/A,2,5
MOGP_GENERATIONAL,9aa6bca4-1587-11f1-9378-303ea725c124,Boston,74,19,7.207174|7.000000,0.018848896026611328,7.0,6.839198|7.000000,7.207174|7.000000,6.839198|7.000000,7,68969259008.000000,N/A,2,5
