MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,23,7.764309|7.000000|1.000000,0.026362895965576172,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,101420335104.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,24,7.764309|7.000000|1.000000,0.027126312255859375,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,52003368960.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,25,7.764309|7.000000|1.000000,0.026487112045288086,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,49487491072.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,26,7.764309|7.000000|1.000000,0.026262283325195312,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,99634135040.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,27,7.764309|7.000000|1.000000,0.026338577270507812,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,51129405440.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,28,7.764309|7.000000|1.000000,0.02695918083190918,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,71548878848.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,29,7.764309|7.000000|1.000000,0.026401042938232422,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,77957062656.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,30,7.764309|7.000000|1.000000,0.02783942222595215,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,97491484672.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,31,7.764309|7.000000|1.000000,0.02584552764892578,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,70672973824.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,32,7.764309|7.000000|1.000000,0.026432275772094727,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,47414951936.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,33,7.764309|7.000000|1.000000,0.027071475982666016,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,21998288896.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,34,7.764309|7.000000|1.000000,0.026301860809326172,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,69968814080.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,35,7.764309|7.000000|1.000000,0.025873661041259766,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,95313084416.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,36,7.764309|7.000000|1.000000,0.027365684509277344,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,77397630976.000000,N/A,2,5
MOGP_GENERATIONAL,d6cd0320-155d-11f1-9378-303ea725c124,Boston,74,37,7.764309|7.000000|1.000000,0.026460886001586914,7.0,8.369187|7.000000|1.000000,7.764309|7.000000|1.000000,8.369187|7.000000|1.000000,7,90190807040.000000,N/A,2,5
