MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,77,4.484513|3.000000,0.049027442932128906,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,117567201280.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,78,4.484513|3.000000,0.048941612243652344,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,78414389248.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,79,4.484513|3.000000,0.04038047790527344,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,96915193856.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,80,4.484513|3.000000,0.04247093200683594,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,50008137728.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,81,4.484513|3.000000,0.04229927062988281,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,136855281664.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,82,4.484513|3.000000,0.05069589614868164,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,112524845056.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,83,4.484513|3.000000,0.04561924934387207,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,90527531008.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,84,4.484513|3.000000,0.0419001579284668,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,96443351040.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,85,4.484513|3.000000,0.04956388473510742,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,126805876736.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,86,4.484513|3.000000,0.053446292877197266,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,110458322944.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,87,4.484513|3.000000,0.049054861068725586,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,94660567040.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,88,4.484513|3.000000,0.04350423812866211,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,49937473536.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,89,4.484513|3.000000,0.048117876052856445,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,131124912128.000000,N/A,1,5
MOGP_GENERATIONAL,e2ff3ca3-134f-11f1-86c6-b751108eed3b,Cooling,74,90,4.484513|3.000000,0.05031013488769531,3.0,4.688949|3.000000,4.484513|3.000000,4.688949|3.000000,3,82558287872.000000,N/A,1,5
