MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,52,4.337151|3.000000,0.019296646118164062,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,87157964800.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,53,4.337151|3.000000,0.019825458526611328,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,121300090880.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,54,4.337151|3.000000,0.01893138885498047,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,86305890304.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,55,4.337151|3.000000,0.019361495971679688,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,86277185536.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,56,4.337151|3.000000,0.020553112030029297,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,103830896640.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,57,4.337151|3.000000,0.019778728485107422,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,127538257920.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,58,4.337151|3.000000,0.019642114639282227,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,106844569600.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,59,4.337151|3.000000,0.018441438674926758,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,49939959808.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,60,4.337151|3.000000,0.018752098083496094,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,69474574336.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,61,4.337151|3.000000,0.0191042423248291,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,62223114240.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,62,4.337151|3.000000,0.01927971839904785,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,43344146432.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,63,4.337151|3.000000,0.019486427307128906,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,121552445440.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,64,4.337151|3.000000,0.019240617752075195,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,4105385728.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,65,4.337151|3.000000,0.019210338592529297,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,77532536832.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,66,4.337151|3.000000,0.019561290740966797,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,112159309824.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,67,4.337151|3.000000,0.020485639572143555,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,67130793984.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,68,4.337151|3.000000,0.018509387969970703,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,83863257088.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,69,4.337151|3.000000,0.01884174346923828,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,84344496128.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,70,4.337151|3.000000,0.01929950714111328,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,108339011584.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,71,4.337151|3.000000,0.019100666046142578,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,85416067072.000000,N/A,1,5
