MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,23,4.610571|3.000000|1.000000,0.026923418045043945,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,55453704192.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,24,4.610571|3.000000|1.000000,0.027847766876220703,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,102516711424.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,25,4.610571|3.000000|1.000000,0.02622056007385254,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,101289123840.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,26,4.610571|3.000000|1.000000,0.027003049850463867,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,107117551616.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,27,4.610571|3.000000|1.000000,0.027245759963989258,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,55459348480.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,28,4.610571|3.000000|1.000000,0.02594614028930664,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,70533685248.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,29,4.610571|3.000000|1.000000,0.027765274047851562,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,113668898816.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,30,4.610571|3.000000|1.000000,0.02731037139892578,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,69164539904.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,31,4.610571|3.000000|1.000000,0.027781248092651367,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,82946514944.000000,N/A,2,5
MOGP_GENERATIONAL,7b461012-1456-11f1-9378-303ea725c124,Cooling,74,32,4.610571|3.000000|1.000000,0.02637195587158203,3.0,4.395564|3.000000|1.000000,4.610571|3.000000|1.000000,4.395564|3.000000|1.000000,3,115187662848.000000,N/A,2,5
