MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,11,4.521828|3.000000|1.000000,0.026170015335083008,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,60556972032.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,12,4.521828|3.000000|1.000000,0.026821374893188477,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,110674722816.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,13,4.521828|3.000000|1.000000,0.027231931686401367,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,98096775168.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,14,4.521828|3.000000|1.000000,0.02649545669555664,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,79595577344.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,15,4.521828|3.000000|1.000000,0.026836872100830078,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,103697424384.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,16,4.521828|3.000000|1.000000,0.025661706924438477,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,107419287552.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,17,4.521828|3.000000|1.000000,0.028093576431274414,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,95336103936.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,18,4.521828|3.000000|1.000000,0.02735424041748047,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,111101534208.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,19,4.521828|3.000000|1.000000,0.02589249610900879,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,48282513408.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,20,4.521828|3.000000|1.000000,0.02664780616760254,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,18662473728.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,21,4.521828|3.000000|1.000000,0.02730870246887207,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,102217342976.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,22,4.521828|3.000000|1.000000,0.026952505111694336,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,117918244864.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,23,4.521828|3.000000|1.000000,0.026674509048461914,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,42883170304.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,24,4.521828|3.000000|1.000000,0.02750849723815918,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,97864122368.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,25,4.521828|3.000000|1.000000,0.02700519561767578,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,148601962496.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,26,4.521828|3.000000|1.000000,0.026692867279052734,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,101329747968.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,27,4.521828|3.000000|1.000000,0.027074575424194336,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,73161179136.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,28,4.521828|3.000000|1.000000,0.026418209075927734,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,75038457856.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,29,4.521828|3.000000|1.000000,0.027830123901367188,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,137928654848.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,30,4.521828|3.000000|1.000000,0.02739238739013672,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,120888311808.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,31,4.521828|3.000000|1.000000,0.02754688262939453,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,111101992960.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,32,4.521828|3.000000|1.000000,0.026421070098876953,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,78001086464.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,33,4.521828|3.000000|1.000000,0.026332616806030273,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,82501820416.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,34,4.521828|3.000000|1.000000,0.026602745056152344,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,128658243584.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,35,4.521828|3.000000|1.000000,0.02783346176147461,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,101254012928.000000,N/A,2,5
MOGP_GENERATIONAL,5de16724-1541-11f1-9378-303ea725c124,Cooling,74,36,4.521828|3.000000|1.000000,0.02695465087890625,3.0,4.604887|3.000000|1.000000,4.521828|3.000000|1.000000,4.604887|3.000000|1.000000,3,118424535040.000000,N/A,2,5
