MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,25,4.610571|3.000000,0.019671916961669922,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,81174339584.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,26,4.610571|3.000000,0.0198972225189209,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,135186833408.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,27,4.610571|3.000000,0.01897430419921875,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,95058493440.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,28,4.610571|3.000000,0.01869058609008789,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,66407542784.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,29,4.610571|3.000000,0.018819570541381836,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,50604933120.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,30,4.610571|3.000000,0.019219636917114258,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,128531554304.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,31,4.610571|3.000000,0.0188295841217041,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,86486818816.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,32,4.610571|3.000000,0.018528223037719727,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,70533259264.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,33,4.610571|3.000000,0.019611358642578125,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,53479395328.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,34,4.610571|3.000000,0.019217729568481445,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,108090671104.000000,N/A,1,5
