MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,0,2300.044189|3.000000,1.1574971675872803,3.0,2385.382812|3.000000,N/A,N/A,0,160131383296.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,1,2180.687500|3.000000,0.02277088165283203,3.0,2371.200195|3.000000,2179.597412|9.000000,2256.779297|9.000000,9,53604839424.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,2,2180.687500|3.000000,0.01968097686767578,3.0,2371.200195|3.000000,2180.687500|3.000000,2371.200195|3.000000,3,50230644736.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,3,2138.735107|3.000000,0.027940988540649414,3.0,2244.757080|3.000000,2138.735107|3.000000,2244.757080|3.000000,3,52989595648.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,4,2134.111328|3.000000,0.024789094924926758,3.0,2313.822998|3.000000,2134.111328|3.000000,2313.822998|3.000000,3,49818025984.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,5,2134.001221|3.000000,0.024163007736206055,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,34647.816406,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,6,2134.001221|3.000000,0.020447969436645508,3.0,2306.964111|3.000000,2117.829346|5.000000,2316.470947|5.000000,5,17546053632.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,7,2134.001221|3.000000,0.01863384246826172,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,12393534464.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,8,2134.001221|3.000000,0.025700092315673828,3.0,2306.964111|3.000000,2131.344971|5.000000,2419.172363|5.000000,5,49786429440.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,9,2134.001221|3.000000,0.019929170608520508,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,13986.574219,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,10,2134.001221|3.000000,0.020487070083618164,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,6774754304.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,11,2134.001221|3.000000,0.02297186851501465,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,66833678336.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,12,2134.001221|3.000000,0.028808116912841797,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,79558090752.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,13,2134.001221|3.000000,0.029519081115722656,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,43530817536.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,14,2134.001221|3.000000,0.020612716674804688,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,48355448.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,15,2134.001221|3.000000,0.025741100311279297,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,55932592128.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,16,2134.001221|3.000000,0.020715951919555664,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,49784045568.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,17,2134.001221|3.000000,0.019480228424072266,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,191.225403,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,18,2134.001221|3.000000,0.018754959106445312,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,71242285056.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,19,2134.001221|3.000000,0.028399944305419922,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,61275856896.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,20,2134.001221|3.000000,0.020632028579711914,3.0,2306.964111|3.000000,2116.227539|7.000000,2195.449951|7.000000,7,17480357888.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,21,2134.001221|3.000000,0.0204160213470459,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,63790911488.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,22,2134.001221|3.000000,0.02325725555419922,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,51272048640.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,23,2134.001221|3.000000,0.019931316375732422,3.0,2306.964111|3.000000,2050.689941|7.000000,2191.500244|7.000000,7,16117615616.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,24,2134.001221|3.000000,0.0187530517578125,3.0,2306.964111|3.000000,2051.608643|7.000000,2208.120361|7.000000,7,37173731328.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,25,2134.001221|3.000000,0.02233290672302246,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,19161886720.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,26,2134.001221|3.000000,0.021297931671142578,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,4334.020996,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,27,2134.001221|3.000000,0.02036905288696289,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,50819403776.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,28,2134.001221|3.000000,0.02048015594482422,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,63137361920.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,29,2134.001221|3.000000,0.01956915855407715,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,15156994048.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,30,2134.001221|3.000000,0.02806997299194336,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,300495744.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,31,2134.001221|3.000000,0.019721031188964844,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,50226069504.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,32,2134.001221|3.000000,0.02052903175354004,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,69436850176.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,33,2134.001221|3.000000,0.020090341567993164,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,47926611968.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,34,2134.001221|3.000000,0.023324966430664062,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,81159520256.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,35,2134.001221|3.000000,0.024497270584106445,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,51562192896.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,36,2134.001221|3.000000,0.023535966873168945,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,47760560128.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,37,2134.001221|3.000000,0.021697998046875,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,54551633920.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,38,2134.001221|3.000000,0.019152164459228516,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,43188154368.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,39,2134.001221|3.000000,0.02785468101501465,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,66596909056.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,40,2134.001221|3.000000,0.03178071975708008,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,26706.230469,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,41,2134.001221|3.000000,0.02010202407836914,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,67765284864.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,42,2134.001221|3.000000,0.022626161575317383,3.0,2306.964111|3.000000,2064.401123|7.000000,2249.402588|7.000000,7,51815088128.000000,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,43,2134.001221|3.000000,0.02115321159362793,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,4987.404297,2131.493408|3.000000,5
MOGP_GENERATIONAL,4c288914-ef9d-11f0-ac7f-6e001b3eef54,Toxicity,74,44,2134.001221|3.000000,0.022984981536865234,3.0,2306.964111|3.000000,2134.001221|3.000000,2306.964111|3.000000,3,13061804032.000000,2131.493408|3.000000,5
