MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,0,9.382798|3.000000,0.8657071590423584,3.0,11.599231|3.000000,11.599231|3.000000,3,243506036736.000000,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,1,9.017097|3.000000,3.2980358600616455,3.0,12.141603|3.000000,12.870094|5.000000,5,3.468945,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,2,9.017097|3.000000,3.210017681121826,3.0,12.141603|3.000000,12.870094|5.000000,5,3.265514,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,3,9.017097|3.000000,3.1347742080688477,3.0,12.141603|3.000000,12.870094|5.000000,5,2.518357,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,4,8.822700|3.000000,3.191066265106201,3.0,10.339682|3.000000,12.870094|5.000000,5,2.095335,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,5,7.643441|3.000000,3.2060842514038086,3.0,8.624413|3.000000,8.624413|3.000000,3,1.250383,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,6,7.643441|3.000000,3.180002212524414,3.0,8.624413|3.000000,8.624413|3.000000,3,0.665663,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,7,7.643441|3.000000,3.1795530319213867,3.0,8.624413|3.000000,8.624413|3.000000,3,0.519419,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,8,7.643441|3.000000,3.293797731399536,3.0,8.624413|3.000000,8.624413|3.000000,3,0.501866,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,9,7.643441|3.000000,3.305715799331665,3.0,8.624413|3.000000,8.624413|3.000000,3,0.467225,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,10,7.643441|3.000000,3.5478813648223877,3.0,8.624413|3.000000,8.624413|3.000000,3,0.447652,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,11,7.643441|3.000000,3.9088480472564697,3.0,8.624413|3.000000,8.624413|3.000000,3,0.385909,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,12,7.643441|3.000000,4.332183837890625,3.0,8.624413|3.000000,8.624413|3.000000,3,0.422257,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,13,7.643441|3.000000,4.390856027603149,3.0,8.624413|3.000000,8.624413|3.000000,3,0.477240,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,14,7.643441|3.000000,4.336039066314697,3.0,8.624413|3.000000,8.624413|3.000000,3,0.541640,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,15,7.643441|3.000000,4.21048903465271,3.0,8.624413|3.000000,8.624413|3.000000,3,0.609838,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,16,7.643441|3.000000,3.9760379791259766,3.0,8.624413|3.000000,8.975347|7.000000,7,0.697025,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,17,7.643441|3.000000,3.719813823699951,3.0,8.624413|3.000000,8.975347|7.000000,7,0.766992,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,18,7.643441|3.000000,3.529480218887329,3.0,8.624413|3.000000,8.975347|7.000000,7,0.808444,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,19,7.643441|3.000000,3.33634090423584,3.0,8.624413|3.000000,9.050400|17.000000,17,0.794897,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,20,7.643441|3.000000,3.3595688343048096,3.0,8.624413|3.000000,9.050400|17.000000,17,0.643081,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,21,7.643441|3.000000,3.468449115753174,3.0,8.624413|3.000000,9.050400|17.000000,17,0.195616,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,22,7.643441|3.000000,3.897412061691284,3.0,8.624413|3.000000,9.050400|17.000000,17,0.086599,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,23,7.643441|3.000000,4.71350884437561,3.0,8.624413|3.000000,7.694189|5.000000,5,0.104967,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,24,7.643441|3.000000,4.88326096534729,3.0,8.624413|3.000000,7.694189|5.000000,5,0.104967,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,25,7.643441|3.000000,5.06805419921875,3.0,8.624413|3.000000,7.694189|5.000000,5,0.104967,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,26,7.643441|3.000000,4.960078001022339,3.0,8.624413|3.000000,7.694189|5.000000,5,0.104967,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,27,7.643441|3.000000,4.8878419399261475,3.0,8.624413|3.000000,7.694189|5.000000,5,0.104919,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,28,7.643441|3.000000,4.934186935424805,3.0,8.624413|3.000000,7.694189|5.000000,5,0.104919,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,29,7.643441|3.000000,4.927451133728027,3.0,8.624413|3.000000,7.694189|5.000000,5,0.126892,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,30,7.643441|3.000000,5.005457162857056,3.0,8.624413|3.000000,7.694189|5.000000,5,0.145541,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,31,7.643441|3.000000,4.908188104629517,3.0,8.624413|3.000000,7.694189|5.000000,5,0.202955,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,32,7.643441|3.000000,4.811286926269531,3.0,8.624413|3.000000,7.694189|5.000000,5,0.225941,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,33,7.643441|3.000000,4.803823947906494,3.0,8.624413|3.000000,7.694189|5.000000,5,0.256165,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,34,7.643441|3.000000,4.7004759311676025,3.0,8.624413|3.000000,7.694189|5.000000,5,0.334978,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,35,7.643441|3.000000,4.572880983352661,3.0,8.624413|3.000000,7.694189|5.000000,5,0.401111,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,36,7.643441|3.000000,4.5379478931427,3.0,8.624413|3.000000,7.694189|5.000000,5,0.498816,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,37,7.643441|3.000000,4.1129560470581055,3.0,8.624413|3.000000,7.694189|5.000000,5,0.592764,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,38,7.643441|3.000000,3.9586338996887207,3.0,8.624413|3.000000,7.694189|5.000000,5,0.662665,N/A,5
MOGP_NSGAII,2278508e-e649-11f0-ade0-6e001b3eef54,Boston,74,39,7.643441|3.000000,3.6984667778015137,3.0,8.624413|3.000000,7.694189|5.000000,5,0.714808,N/A,5
