MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,23,9.091492|7.000000|1.000000,0.026792287826538086,7.0,9.187028|7.000000|1.000000,9.091492|7.000000|1.000000,9.187028|7.000000|1.000000,7,49427214336.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,24,9.091492|7.000000|1.000000,0.026399612426757812,7.0,9.187028|7.000000|1.000000,9.091492|7.000000|1.000000,9.187028|7.000000|1.000000,7,101089214464.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,25,9.091492|7.000000|1.000000,0.02662515640258789,7.0,9.187028|7.000000|1.000000,9.091492|7.000000|1.000000,9.187028|7.000000|1.000000,7,86392389632.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,26,9.091492|7.000000|1.000000,0.026256561279296875,7.0,9.187028|7.000000|1.000000,9.091492|7.000000|1.000000,9.187028|7.000000|1.000000,7,116288086016.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,27,9.091492|7.000000|1.000000,0.026366233825683594,7.0,9.187028|7.000000|1.000000,9.091492|7.000000|1.000000,9.187028|7.000000|1.000000,7,64116432896.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,28,8.538268|7.000000|1.000000,0.026807069778442383,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,74212614144.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,29,8.538268|7.000000|1.000000,0.026561737060546875,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,82323742720.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,30,8.538268|7.000000|1.000000,0.027341127395629883,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,69153865728.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,31,8.538268|7.000000|1.000000,0.025910377502441406,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,69604597760.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,32,8.538268|7.000000|1.000000,0.02640986442565918,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,74896326656.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,33,8.538268|7.000000|1.000000,0.02696371078491211,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,95760261120.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,34,8.538268|7.000000|1.000000,0.026448726654052734,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,90888093696.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,35,8.538268|7.000000|1.000000,0.026316404342651367,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,34923601920.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,36,8.538268|7.000000|1.000000,0.027568340301513672,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,93185630208.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,37,8.538268|7.000000|1.000000,0.026511430740356445,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,76572434432.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,38,8.538268|7.000000|1.000000,0.025481462478637695,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,100474937344.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,39,8.538268|7.000000|1.000000,0.02642226219177246,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,99950985216.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,40,8.538268|7.000000|1.000000,0.026179075241088867,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,48247820288.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,41,8.538268|7.000000|1.000000,0.02701258659362793,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,92030345216.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,42,8.538268|7.000000|1.000000,0.02617955207824707,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,73920733184.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,43,8.538268|7.000000|1.000000,0.02749919891357422,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,97344626688.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,44,8.538268|7.000000|1.000000,0.026510000228881836,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,88242192384.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,45,8.538268|7.000000|1.000000,0.02664017677307129,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,107826176000.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,46,8.538268|7.000000|1.000000,0.02720952033996582,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,89073213440.000000,N/A,2,5
MOGP_GENERATIONAL,51b068c0-1473-11f1-9378-303ea725c124,Boston,74,47,8.538268|7.000000|1.000000,0.026943445205688477,7.0,8.479042|7.000000|1.000000,8.538268|7.000000|1.000000,8.479042|7.000000|1.000000,7,96013869056.000000,N/A,2,5
