MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,52,4.659552|3.000000,0.019213438034057617,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,86156001280.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,53,4.659552|3.000000,0.019754886627197266,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,136383365120.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,54,4.659552|3.000000,0.018600940704345703,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,99162644480.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,55,4.659552|3.000000,0.019145727157592773,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,98822537216.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,56,4.659552|3.000000,0.019010305404663086,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,115095953408.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,57,4.659552|3.000000,0.020050764083862305,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,110417674240.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,58,4.659552|3.000000,0.019123315811157227,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,108318375936.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,59,4.659552|3.000000,0.0191342830657959,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,101855305728.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,60,4.659552|3.000000,0.018930435180664062,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,77481787392.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,61,4.659552|3.000000,0.01891779899597168,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,43222421504.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,62,4.659552|3.000000,0.018996477127075195,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,111248957440.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,63,4.659552|3.000000,0.019187211990356445,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,73442271232.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,64,4.659552|3.000000,0.019036531448364258,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,96724926464.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,65,4.659552|3.000000,0.019281387329101562,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,93192036352.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,66,4.659552|3.000000,0.018825292587280273,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,87623958528.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,67,4.659552|3.000000,0.0201718807220459,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,86067314688.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,68,4.659552|3.000000,0.01897263526916504,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,86276808704.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,69,4.659552|3.000000,0.018912315368652344,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,119091372032.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,70,4.659552|3.000000,0.019064903259277344,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,84772536320.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,71,4.659552|3.000000,0.019101381301879883,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,99538632704.000000,N/A,1,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,72,4.659552|3.000000,0.019842863082885742,3.0,4.273808|3.000000,4.659552|3.000000,4.273808|3.000000,3,123965603840.000000,N/A,1,5
