MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,26,2259.319580|9.000000,0.021462202072143555,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,13828120576.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,27,2259.319580|9.000000,0.02306985855102539,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,50163691520.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,28,2259.319580|9.000000,0.023148298263549805,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,75314020352.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,29,2259.319580|9.000000,0.022572755813598633,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,18729807872.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,30,2259.319580|9.000000,0.021233797073364258,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,29007988736.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,31,2259.319580|9.000000,0.021024227142333984,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,58904453120.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,32,2259.319580|9.000000,0.021268367767333984,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,48224702464.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,33,2259.319580|9.000000,0.021409034729003906,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,32491528192.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,34,2259.319580|9.000000,0.022539854049682617,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,12368945152.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,35,2259.319580|9.000000,0.02037668228149414,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,15989909504.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,36,2259.319580|9.000000,0.022864818572998047,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,13540112384.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,37,2259.319580|9.000000,0.021212339401245117,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,1207.217529,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,38,2259.319580|9.000000,0.021724939346313477,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,59005952000.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,39,2259.319580|9.000000,0.06037020683288574,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,63313436672.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,40,2259.319580|9.000000,0.02144455909729004,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,28270520320.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,41,2259.319580|9.000000,0.021435022354125977,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,3864.388184,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,42,2259.319580|9.000000,0.020972013473510742,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,57611624448.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,43,2259.319580|9.000000,0.022262096405029297,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,809.611938,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,44,2259.319580|9.000000,0.021303892135620117,9.0,2068.966553|9.000000,2259.319580|9.000000,2068.966553|9.000000,9,11063119872.000000,N/A,2,5
