MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,30,4.585071|3.000000|1.000000,0.06573653221130371,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,70533259264.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,31,4.585071|3.000000|1.000000,0.027744531631469727,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,50008539136.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,32,4.585071|3.000000|1.000000,0.02640056610107422,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,70533128192.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,33,4.585071|3.000000|1.000000,0.02618718147277832,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,109300162560.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,34,4.585071|3.000000|1.000000,0.026906251907348633,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,103676076032.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,35,4.585071|3.000000|1.000000,0.0278933048248291,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,65979011072.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,36,4.585071|3.000000|1.000000,0.02692437171936035,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,86276800512.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,37,4.585071|3.000000|1.000000,0.026918411254882812,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,99858669568.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,38,4.585071|3.000000|1.000000,0.026614665985107422,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,134222848000.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,39,4.585071|3.000000|1.000000,0.026517629623413086,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,49937321984.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,40,4.585071|3.000000|1.000000,0.026891708374023438,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,75625725952.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,41,4.585071|3.000000|1.000000,0.026860952377319336,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,96079470592.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,42,4.585071|3.000000|1.000000,0.026515722274780273,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,97626824704.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,43,4.585071|3.000000|1.000000,0.02726578712463379,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,101368528896.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,44,4.585071|3.000000|1.000000,0.025907278060913086,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,23479121920.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,45,4.585071|3.000000|1.000000,0.026811599731445312,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,102321422336.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,46,4.585071|3.000000|1.000000,0.027517080307006836,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,90796900352.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,47,4.585071|3.000000|1.000000,0.026939868927001953,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,49937473536.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,48,4.585071|3.000000|1.000000,0.027872323989868164,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,111776931840.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,49,4.585071|3.000000|1.000000,0.026808977127075195,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,106263134208.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,50,4.585071|3.000000|1.000000,0.026686668395996094,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,83549945856.000000,N/A,2,5
MOGP_GENERATIONAL,f497c0b8-1443-11f1-9378-303ea725c124,Cooling,74,51,4.585071|3.000000|1.000000,0.02754664421081543,3.0,4.457140|3.000000|1.000000,4.585071|3.000000|1.000000,4.457140|3.000000|1.000000,3,104289460224.000000,N/A,2,5
