MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,15,4.605806|3.000000,0.019019603729248047,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,50009100288.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,16,4.605806|3.000000,0.019614458084106445,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,125474185216.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,17,4.605806|3.000000,0.019776582717895508,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,120923545600.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,18,4.605806|3.000000,0.019360780715942383,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,97223499776.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,19,4.605806|3.000000,0.01935863494873047,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,53827862528.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,20,4.605806|3.000000,0.019309282302856445,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,79903031296.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,21,4.605806|3.000000,0.019567489624023438,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,82528190464.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,22,4.605806|3.000000,0.019293546676635742,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,116273250304.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,23,4.605806|3.000000,0.018775463104248047,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,81487724544.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,24,4.605806|3.000000,0.019200801849365234,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,85253652480.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,25,4.605806|3.000000,0.01958775520324707,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,91946401792.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,26,4.605806|3.000000,0.02077174186706543,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,105432154112.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,27,4.605806|3.000000,0.019544601440429688,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,49937469440.000000,N/A,1,5
