MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,0,9.757213|3.000000,0.7795681953430176,3.0,10.855975|3.000000,10.855975|3.000000,3,243221774336.000000,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,1,9.630994|3.000000,3.0450258255004883,3.0,10.988938|3.000000,11.741996|5.000000,5,3.483747,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,2,9.630994|3.000000,2.861565113067627,3.0,10.988938|3.000000,11.741996|5.000000,5,3.372837,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,3,9.630994|3.000000,2.891042947769165,3.0,10.988938|3.000000,9.316479|5.000000,5,2.694459,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,4,9.630994|3.000000,2.8869450092315674,3.0,10.988938|3.000000,9.316479|5.000000,5,2.215447,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,5,9.630994|3.000000,2.8927271366119385,3.0,10.988938|3.000000,9.316479|5.000000,5,1.510830,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,6,8.073854|3.000000,2.9808661937713623,3.0,9.217699|3.000000,9.217699|3.000000,3,0.643337,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,7,8.073854|3.000000,3.0105490684509277,3.0,9.217699|3.000000,8.696528|7.000000,7,0.537141,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,8,8.073854|3.000000,3.1005630493164062,3.0,9.217699|3.000000,8.696528|7.000000,7,0.464761,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,9,7.608275|3.000000,3.237985134124756,3.0,8.696528|3.000000,8.696528|3.000000,3,0.428923,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,10,7.608275|3.000000,3.618955135345459,3.0,8.696528|3.000000,8.696528|3.000000,3,0.467741,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,11,7.608275|3.000000,3.537539005279541,3.0,8.696528|3.000000,8.696528|3.000000,3,0.543026,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,12,7.608275|3.000000,3.6213228702545166,3.0,8.696528|3.000000,8.696528|3.000000,3,0.566100,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,13,7.608275|3.000000,3.8989439010620117,3.0,8.696528|3.000000,8.696528|3.000000,3,0.567975,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,14,7.608275|3.000000,4.093199014663696,3.0,8.696528|3.000000,8.696528|3.000000,3,0.624249,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,15,7.608275|3.000000,3.9451940059661865,3.0,8.696528|3.000000,8.696528|3.000000,3,0.728487,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,16,7.608275|3.000000,3.771782159805298,3.0,8.696528|3.000000,8.696528|3.000000,3,0.775431,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,17,7.608275|3.000000,3.7025108337402344,3.0,8.696528|3.000000,8.696528|3.000000,3,0.837078,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,18,7.608275|3.000000,3.6860451698303223,3.0,8.696528|3.000000,8.696528|3.000000,3,0.911001,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,19,7.608275|3.000000,3.5621771812438965,3.0,8.696528|3.000000,8.696528|3.000000,3,0.917205,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,20,7.608275|3.000000,3.424132823944092,3.0,8.696528|3.000000,8.696528|3.000000,3,0.740269,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,21,7.608275|3.000000,3.7925119400024414,3.0,8.696528|3.000000,8.696528|3.000000,3,0.115957,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,22,7.608275|3.000000,3.982717990875244,3.0,8.696528|3.000000,8.696528|3.000000,3,0.137641,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,23,7.608275|3.000000,3.871098041534424,3.0,8.696528|3.000000,8.696528|3.000000,3,0.157434,N/A,5
MOGP_NSGAII,4089df0e-e750-11f0-b717-6e001b3eef54,Boston,74,24,7.608275|3.000000,3.681114912033081,3.0,8.696528|3.000000,8.696528|3.000000,3,0.166693,N/A,5
