MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,24,4.751816|3.000000|1.000000,0.06742143630981445,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,120575229952.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,25,4.751816|3.000000|1.000000,0.06643033027648926,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,87329259520.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,26,4.751816|3.000000|1.000000,0.06792283058166504,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,86277177344.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,27,4.751816|3.000000|1.000000,0.06672120094299316,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,69241257984.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,28,4.751816|3.000000|1.000000,0.06658387184143066,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,119019585536.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,29,4.751816|3.000000|1.000000,0.06749677658081055,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,139509760000.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,30,4.751816|3.000000|1.000000,0.04993295669555664,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,79670976512.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,31,4.751816|3.000000|1.000000,0.056014299392700195,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,101603139584.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,32,4.751816|3.000000|1.000000,0.06670498847961426,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,99968393216.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,33,4.751816|3.000000|1.000000,0.04996466636657715,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,85259051008.000000,N/A,2,5
