MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,22,4.495635|3.000000,0.019114255905151367,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,85390508032.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,23,4.495635|3.000000,0.01868128776550293,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,95577194496.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,24,4.495635|3.000000,0.01935410499572754,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,49937461248.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,25,4.495635|3.000000,0.019678592681884766,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,113476444160.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,26,4.495635|3.000000,0.020390748977661133,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,116907950080.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,27,4.495635|3.000000,0.018187761306762695,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,12634089472.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,28,4.495635|3.000000,0.020020008087158203,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,119627096064.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,29,4.495635|3.000000,0.01895284652709961,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,89386704896.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,30,4.495635|3.000000,0.019692420959472656,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,78505967616.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,31,4.495635|3.000000,0.021056652069091797,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,38410616832.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,32,4.495635|3.000000,0.01903080940246582,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,87169859584.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,33,4.495635|3.000000,0.018710613250732422,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,110490083328.000000,N/A,1,5
