MOGP_NSGAII,b2ec7f9c-eb75-11f0-906c-6e001b3eef54,Toxicity,74,0,2496.036621|3.000000,1.329308032989502,3.0,1879.370850|3.000000,N/A,N/A,0,158528045056.000000,N/A,5
MOGP_NSGAII,b2ec7f9c-eb75-11f0-906c-6e001b3eef54,Toxicity,74,1,2381.309814|3.000000,5.009681940078735,3.0,1876.542358|3.000000,2259.319580|9.000000,2068.966553|9.000000,9,61.308224,N/A,5
MOGP_NSGAII,b2ec7f9c-eb75-11f0-906c-6e001b3eef54,Toxicity,74,2,2148.691406|3.000000,4.694343328475952,3.0,1926.962402|3.000000,2148.691406|3.000000,1926.962402|3.000000,3,84.752121,N/A,5
MOGP_NSGAII,b2ec7f9c-eb75-11f0-906c-6e001b3eef54,Toxicity,74,3,2148.691406|3.000000,4.808377981185913,3.0,1926.962402|3.000000,2148.691406|3.000000,1926.962402|3.000000,3,90.137947,N/A,5
MOGP_NSGAII,b2ec7f9c-eb75-11f0-906c-6e001b3eef54,Toxicity,74,4,2148.691406|3.000000,4.609350919723511,3.0,1926.962402|3.000000,2148.691406|3.000000,1926.962402|3.000000,3,78.186241,N/A,5
MOGP_NSGAII,b2ec7f9c-eb75-11f0-906c-6e001b3eef54,Toxicity,74,5,2148.691406|3.000000,4.753893136978149,3.0,1926.962402|3.000000,2148.691406|3.000000,1926.962402|3.000000,3,63.815628,N/A,5
MOGP_NSGAII,b2ec7f9c-eb75-11f0-906c-6e001b3eef54,Toxicity,74,6,2148.691406|3.000000,4.747454881668091,3.0,1926.962402|3.000000,2148.691406|3.000000,1926.962402|3.000000,3,56.490398,N/A,5
MOGP_NSGAII,b2ec7f9c-eb75-11f0-906c-6e001b3eef54,Toxicity,74,7,2148.691406|3.000000,4.681168794631958,3.0,1926.962402|3.000000,2148.691406|3.000000,1926.962402|3.000000,3,47.646023,N/A,5
MOGP_NSGAII,b2ec7f9c-eb75-11f0-906c-6e001b3eef54,Toxicity,74,8,2148.691406|3.000000,4.94384503364563,3.0,1926.962402|3.000000,2148.691406|3.000000,1926.962402|3.000000,3,38.541286,N/A,5
MOGP_NSGAII,b2ec7f9c-eb75-11f0-906c-6e001b3eef54,Toxicity,74,9,2148.691406|3.000000,5.200599908828735,3.0,1926.962402|3.000000,2148.691406|3.000000,1926.962402|3.000000,3,36.506775,N/A,5
MOGP_NSGAII,b2ec7f9c-eb75-11f0-906c-6e001b3eef54,Toxicity,74,10,2148.691406|3.000000,5.434291124343872,3.0,1926.962402|3.000000,2148.691406|3.000000,1926.962402|3.000000,3,39.155590,N/A,5
MOGP_NSGAII,b2ec7f9c-eb75-11f0-906c-6e001b3eef54,Toxicity,74,11,2148.691406|3.000000,5.281726837158203,3.0,1926.962402|3.000000,2107.971680|5.000000,1801.483887|5.000000,5,44.136154,N/A,5
