MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,29,4.337151|3.000000|1.000000,0.027670621871948242,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,95384772608.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,30,4.337151|3.000000|1.000000,0.027248382568359375,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,60469530624.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,31,4.337151|3.000000|1.000000,0.027329444885253906,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,104645820416.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,32,4.337151|3.000000|1.000000,0.026460647583007812,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,66134929408.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,33,4.337151|3.000000|1.000000,0.025844573974609375,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,99497975808.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,34,4.337151|3.000000|1.000000,0.026909828186035156,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,78836736000.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,35,4.337151|3.000000|1.000000,0.028018474578857422,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,49937473536.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,36,4.337151|3.000000|1.000000,0.027074813842773438,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,103899873280.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,37,4.337151|3.000000|1.000000,0.026314496994018555,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,78280998912.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,38,4.337151|3.000000|1.000000,0.02695322036743164,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,108336103424.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,39,4.337151|3.000000|1.000000,0.02632617950439453,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,138260561920.000000,N/A,2,5
MOGP_GENERATIONAL,2b3840ca-152a-11f1-9378-303ea725c124,Cooling,74,40,4.337151|3.000000|1.000000,0.027152299880981445,3.0,5.000828|3.000000|1.000000,4.337151|3.000000|1.000000,5.000828|3.000000|1.000000,3,78893129728.000000,N/A,2,5
