=== Stats: Toxicity (5_Objs) ===
Scenario  NSGA-II_Pure  NT_1st_Obj_Elitism   NT_NSGA-II
count        16.000000           16.000000    16.000000
mean       2060.921310         2012.166588  2020.401817
std         186.414783          176.279464   190.669248
min        1744.081787         1658.560913  1627.705566
25%        1954.416473         1893.615692  1889.398163
50%        2088.688476         2054.286010  2072.454346
75%        2222.615296         2161.550965  2175.449524
max        2333.875977         2221.796387  2259.721680

Friedman Test:
Statistic: 5.9298, p-value: 0.051565
