MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,12,4.477321|3.000000,0.019020557403564453,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,49937326080.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,13,4.477321|3.000000,0.019965648651123047,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,93038788608.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,14,4.477321|3.000000,0.01931142807006836,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,85688459264.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,15,4.477321|3.000000,0.01954054832458496,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,80224526336.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,16,4.477321|3.000000,0.01958751678466797,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,49970733056.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,17,4.477321|3.000000,0.019810199737548828,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,70763241472.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,18,4.477321|3.000000,0.019205331802368164,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,94011244544.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,19,4.477321|3.000000,0.018957138061523438,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,53090430976.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,20,4.477321|3.000000,0.019087553024291992,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,72550514688.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,21,4.477321|3.000000,0.020093441009521484,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,136065531904.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,22,4.477321|3.000000,0.018893957138061523,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,68507938816.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,23,4.477321|3.000000,0.018697261810302734,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,92492046336.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,24,4.477321|3.000000,0.019505739212036133,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,55587725312.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,25,4.477321|3.000000,0.019747257232666016,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,115683557376.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,26,4.477321|3.000000,0.020078659057617188,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,103594262528.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,27,4.477321|3.000000,0.018400192260742188,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,50001608704.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,28,4.477321|3.000000,0.018687725067138672,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,66778951680.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,29,4.477321|3.000000,0.018920421600341797,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,50794987520.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,30,4.477321|3.000000,0.019251346588134766,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,96585564160.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,31,4.477321|3.000000,0.01869678497314453,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,181616208.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,32,4.477321|3.000000,0.018976449966430664,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,83303497728.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,33,4.477321|3.000000,0.01930856704711914,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,99498754048.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,34,4.477321|3.000000,0.019636869430541992,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,108508364800.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,35,4.477321|3.000000,0.01897263526916504,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,49998725120.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,36,4.477321|3.000000,0.019868850708007812,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,70536953856.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,37,4.477321|3.000000,0.019504308700561523,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,116645937152.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,38,4.477321|3.000000,0.019128084182739258,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,102089523200.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,39,4.477321|3.000000,0.019747018814086914,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,128946274304.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,40,4.477321|3.000000,0.0190885066986084,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,126498250752.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,41,4.477321|3.000000,0.018895626068115234,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,124240453632.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,42,4.477321|3.000000,0.018787145614624023,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,82950496256.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,43,4.477321|3.000000,0.020037412643432617,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,105873661952.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,44,4.477321|3.000000,0.019509315490722656,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,106383106048.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,45,4.477321|3.000000,0.01922750473022461,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,71668752384.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,46,4.477321|3.000000,0.018764257431030273,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,87118430208.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,47,4.477321|3.000000,0.019408464431762695,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,82891284480.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,48,4.477321|3.000000,0.020320892333984375,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,97492189184.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,49,4.477321|3.000000,0.05578899383544922,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,134541352960.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,50,4.477321|3.000000,0.0198209285736084,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,69507915776.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,51,4.477321|3.000000,0.018395423889160156,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,54656868352.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,52,4.477321|3.000000,0.019226551055908203,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,120883142656.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,53,4.477321|3.000000,0.01973104476928711,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,94991925248.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,54,4.477321|3.000000,0.018796205520629883,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,76598640640.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,55,4.477321|3.000000,0.019767045974731445,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,81750327296.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,56,4.477321|3.000000,0.01877450942993164,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,95640682496.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,57,4.477321|3.000000,0.019949674606323242,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,100231061504.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,58,4.477321|3.000000,0.019206762313842773,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,114648858624.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,59,4.477321|3.000000,0.019144535064697266,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,100340039680.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,60,4.477321|3.000000,0.01871633529663086,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,92037185536.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,61,4.477321|3.000000,0.018980741500854492,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,82891063296.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,62,4.477321|3.000000,0.01888418197631836,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,87117570048.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,63,4.477321|3.000000,0.019498825073242188,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,72366874624.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,64,4.477321|3.000000,0.019239425659179688,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,96225271808.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,65,4.477321|3.000000,0.019156932830810547,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,98818891776.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,66,4.477321|3.000000,0.01889967918395996,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,108317212672.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,67,4.477321|3.000000,0.020241260528564453,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,108381822976.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,68,4.477321|3.000000,0.01913142204284668,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,115986882560.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,69,4.477321|3.000000,0.01867985725402832,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,70533382144.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,70,4.477321|3.000000,0.01907968521118164,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,70603644928.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,71,4.477321|3.000000,0.01934218406677246,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,126229684224.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,72,4.477321|3.000000,0.020059823989868164,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,117225922560.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,73,4.477321|3.000000,0.019245147705078125,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,68111818752.000000,N/A,1,5
MOGP_GENERATIONAL,a291f94c-1532-11f1-9378-303ea725c124,Cooling,74,74,4.477321|3.000000,0.01983356475830078,3.0,4.704899|3.000000,4.477321|3.000000,4.704899|3.000000,3,92746743808.000000,N/A,1,5
