MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,0,9.382798|3.000000,0.7996869087219238,3.0,11.599231|3.000000,11.599231|3.000000,3,243506036736.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,1,9.880182|3.000000,0.017249107360839844,3.0,12.473437|3.000000,12.473437|3.000000,3,94175797248.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,2,9.422980|3.000000,0.016878128051757812,3.0,11.942894|3.000000,11.942894|3.000000,3,67900735488.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,3,9.017097|3.000000,0.016268014907836914,3.0,12.141603|3.000000,12.141603|3.000000,3,74497064960.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,4,9.111235|3.000000,0.015747785568237305,3.0,10.390142|3.000000,10.390142|3.000000,3,104468668416.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,5,9.382798|3.000000,0.015317201614379883,3.0,11.599231|3.000000,11.599231|3.000000,3,105030090752.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,6,9.382798|3.000000,0.015011072158813477,3.0,11.599231|3.000000,11.599231|3.000000,3,81583980544.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,7,9.382798|3.000000,0.014708995819091797,3.0,11.599231|3.000000,11.599231|3.000000,3,76497690624.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,8,9.382798|3.000000,0.0143890380859375,3.0,11.599231|3.000000,11.599231|3.000000,3,70428917760.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,9,9.382798|3.000000,0.014856815338134766,3.0,11.599231|3.000000,11.624429|5.000000,5,68476194816.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,10,9.382798|3.000000,0.014236927032470703,3.0,11.599231|3.000000,11.599231|3.000000,3,104527454208.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,11,9.422980|3.000000,0.01403188705444336,3.0,11.942894|3.000000,11.942894|3.000000,3,50954231808.000000,N/A,5
MOGP_GENERATIONAL,5317356c-e652-11f0-ade0-6e001b3eef54,Boston,74,12,9.422980|3.000000,0.014928340911865234,3.0,11.942894|3.000000,9.450739|7.000000,7,33520265216.000000,N/A,5
