MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,26,10.493176|3.000000,4.998457193374634,3.0,9.579111|3.000000,8.055672|5.000000,5,0.102839,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,27,10.493176|3.000000,4.855552911758423,3.0,9.579111|3.000000,8.055672|5.000000,5,0.102839,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,28,10.493176|3.000000,4.97068977355957,3.0,9.579111|3.000000,8.055672|5.000000,5,0.102839,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,29,10.493176|3.000000,5.100873947143555,3.0,9.579111|3.000000,8.055672|5.000000,5,0.102839,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,30,10.493176|3.000000,4.809169769287109,3.0,9.579111|3.000000,8.055672|5.000000,5,0.102839,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,31,10.493176|3.000000,4.832144737243652,3.0,9.579111|3.000000,8.055672|5.000000,5,0.102839,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,32,10.493176|3.000000,4.99547815322876,3.0,9.579111|3.000000,8.055672|5.000000,5,0.102839,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,33,10.493176|3.000000,4.850124835968018,3.0,9.579111|3.000000,8.055672|5.000000,5,0.102839,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,34,10.493176|3.000000,4.911014795303345,3.0,9.579111|3.000000,8.055672|5.000000,5,0.145254,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,35,10.493176|3.000000,4.954195022583008,3.0,9.579111|3.000000,8.055672|5.000000,5,0.145254,N/A,5
