MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,0,9.357310|3.000000|0.000000|0.000000|0.000000,0.08093762397766113,3.0,9.904694|3.000000|0.000000|0.000000|0.000000,9.357310|3.000000|0.000000|0.000000|0.000000,9.904694|3.000000|0.000000|0.000000|0.000000,3,244207353856.000000,N/A,3,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,1,4.484513|3.000000|1.000000|0.000000|0.000000,0.16038274765014648,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,78678376448.000000,N/A,3,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,2,4.484513|3.000000|1.000000|0.000000|0.000000,0.1522204875946045,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,49937469440.000000,N/A,3,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,3,4.484513|3.000000|1.000000|0.000000|0.000000,0.15684032440185547,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,61258563584.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,4,4.484513|3.000000|1.000000|0.000000|0.000000,0.16958379745483398,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,118253887488.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,5,4.484513|3.000000|1.000000|0.000000|0.000000,0.15066170692443848,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,59870097408.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,6,4.484513|3.000000|1.000000|0.000000|0.000000,0.14970707893371582,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,43806846976.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,7,4.484513|3.000000|1.000000|0.000000|0.000000,0.16619873046875,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,97043611648.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,8,4.484513|3.000000|1.000000|0.000000|0.000000,0.1667158603668213,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,113864114176.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,9,4.484513|3.000000|1.000000|0.000000|0.000000,0.15009403228759766,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,10571206.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,10,4.484513|3.000000|1.000000|0.000000|0.000000,0.1668257713317871,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,89880207360.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,11,4.484513|3.000000|1.000000|0.000000|0.000000,0.19983959197998047,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,108254240768.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,12,4.484513|3.000000|1.000000|0.000000|0.000000,0.16535711288452148,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,70533685248.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,13,4.484513|3.000000|1.000000|0.000000|0.000000,0.14992690086364746,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,75360190464.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,14,4.484513|3.000000|1.000000|0.000000|0.000000,0.1492750644683838,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,15777294336.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,15,4.484513|3.000000|1.000000|0.000000|0.000000,0.16519641876220703,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,74826743808.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,16,4.484513|3.000000|1.000000|0.000000|0.000000,0.16667819023132324,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,49937469440.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,17,4.484513|3.000000|1.000000|0.000000|0.000000,0.15143084526062012,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,87168647168.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,18,4.484513|3.000000|1.000000|0.000000|0.000000,0.14978671073913574,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,111102427136.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,19,4.484513|3.000000|1.000000|0.000000|0.000000,0.1650993824005127,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,47483.046875,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,20,4.484513|3.000000|1.000000|0.000000|0.000000,0.14919686317443848,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,82556559360.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,21,4.484513|3.000000|1.000000|0.000000|0.000000,0.15105032920837402,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,70533685248.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,22,4.484513|3.000000|1.000000|0.000000|0.000000,0.14874887466430664,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,95199723520.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,23,4.484513|3.000000|1.000000|0.000000|0.000000,0.1679673194885254,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,89538527232.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,24,4.484513|3.000000|1.000000|0.000000|0.000000,0.16570186614990234,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,77735444480.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,25,4.484513|3.000000|1.000000|0.000000|0.000000,0.14974570274353027,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,34038608.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,26,4.484513|3.000000|1.000000|0.000000|0.000000,0.15268754959106445,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,96836206592.000000,N/A,2,5
MOGP_GENERATIONAL,8f4317d6-1355-11f1-9dc9-b751108eed3b,Cooling,74,27,4.484513|3.000000|1.000000|0.000000|0.000000,0.14999151229858398,3.0,4.688949|3.000000|1.000000|0.000000|0.000000,4.484513|3.000000|1.000000|0.000000|0.000000,4.688949|3.000000|1.000000|0.000000|0.000000,3,95363538944.000000,N/A,2,5
