MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,18,4.484513|3.000000|1.000000,0.07570624351501465,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,79944130560.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,19,4.484513|3.000000|1.000000,0.05917668342590332,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,48474497024.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,20,4.484513|3.000000|1.000000,0.06786489486694336,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,69508235264.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,21,4.484513|3.000000|1.000000,0.06324958801269531,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,137764388864.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,22,4.484513|3.000000|1.000000,0.06699943542480469,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,86769065984.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,23,4.484513|3.000000|1.000000,0.05904746055603027,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,100372324352.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,24,4.484513|3.000000|1.000000,0.057374000549316406,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,63739396096.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,25,4.484513|3.000000|1.000000,0.08293795585632324,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,96445407232.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,26,4.484513|3.000000|1.000000,0.06566333770751953,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,97100554240.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,27,4.484513|3.000000|1.000000,0.07189464569091797,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,73094496256.000000,N/A,2,5
