MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,11,4.601840|3.000000,0.018748044967651367,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,82724159488.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,12,4.601840|3.000000,0.018833398818969727,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,49937465344.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,13,4.601840|3.000000,0.01984405517578125,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,126921515008.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,14,4.601840|3.000000,0.01994037628173828,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,82723569664.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,15,4.601840|3.000000,0.01878643035888672,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,89604513792.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,16,4.601840|3.000000,0.01950979232788086,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,67998011392.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,17,4.601840|3.000000,0.020392179489135742,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,128589193216.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,18,4.601840|3.000000,0.019420862197875977,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,49937313792.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,19,4.601840|3.000000,0.0185549259185791,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,70533693440.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,20,4.601840|3.000000,0.01891016960144043,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,111102369792.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,21,4.601840|3.000000,0.019907712936401367,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,104304648192.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,22,4.601840|3.000000,0.019147396087646484,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,66169282560.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,23,4.601840|3.000000,0.018584489822387695,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,66940489728.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,24,4.601840|3.000000,0.019366741180419922,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,73141616640.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,25,4.601840|3.000000,0.01961994171142578,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,117232295936.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,26,4.601840|3.000000,0.02005314826965332,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,73795223552.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,27,4.601840|3.000000,0.018595218658447266,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,62307254272.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,28,4.601840|3.000000,0.01991891860961914,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,103662534656.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,29,4.601840|3.000000,0.01936817169189453,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,98214371328.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,30,4.601840|3.000000,0.01898789405822754,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,70745481216.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,31,4.601840|3.000000,0.01896810531616211,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,86303768576.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,32,4.601840|3.000000,0.019078969955444336,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,119245217792.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,33,4.601840|3.000000,0.019205808639526367,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,73417719808.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,34,4.601840|3.000000,0.019356489181518555,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,128128016384.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,35,4.601840|3.000000,0.01963186264038086,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,86277169152.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,36,4.601840|3.000000,0.019040346145629883,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,83275702272.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,37,4.601840|3.000000,0.020136594772338867,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,130521653248.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,38,4.601840|3.000000,0.01912999153137207,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,116596195328.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,39,4.601840|3.000000,0.018203258514404297,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,69195038720.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,40,4.601840|3.000000,0.019797563552856445,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,141001867264.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,41,4.601840|3.000000,0.019032955169677734,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,86325420032.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,42,4.601840|3.000000,0.018895626068115234,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,121365725184.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,43,4.601840|3.000000,0.020160913467407227,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,126537351168.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,44,4.601840|3.000000,0.055706024169921875,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,122397032448.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,45,4.601840|3.000000,0.01909470558166504,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,125077676032.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,46,4.601840|3.000000,0.019142627716064453,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,110065319936.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,47,4.601840|3.000000,0.019904375076293945,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,104282284032.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,48,4.601840|3.000000,0.019739389419555664,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,128145072128.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,49,4.601840|3.000000,0.018918275833129883,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,105809125376.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,50,4.601840|3.000000,0.020184755325317383,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,88350433280.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,51,4.601840|3.000000,0.01848435401916504,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,92006465536.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,52,4.601840|3.000000,0.019389867782592773,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,70572744704.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,53,4.601840|3.000000,0.019925594329833984,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,139998806016.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,54,4.601840|3.000000,0.01885080337524414,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,96442736640.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,55,4.601840|3.000000,0.019312143325805664,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,88423424000.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,56,4.601840|3.000000,0.01920485496520996,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,85290131456.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,57,4.601840|3.000000,0.020083904266357422,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,115356581888.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,58,4.601840|3.000000,0.019098281860351562,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,42278109184.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,59,4.601840|3.000000,0.019245147705078125,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,101992472576.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,60,4.601840|3.000000,0.01880931854248047,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,77111607296.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,61,4.601840|3.000000,0.018876314163208008,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,43544854528.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,62,4.601840|3.000000,0.01933455467224121,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,116664336384.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,63,4.601840|3.000000,0.01923680305480957,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,49937317888.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,64,4.601840|3.000000,0.019255399703979492,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,98940878848.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,65,4.601840|3.000000,0.018766403198242188,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,86355820544.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,66,4.601840|3.000000,0.018758296966552734,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,94693081088.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,67,4.601840|3.000000,0.020101070404052734,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,129334140928.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,68,4.601840|3.000000,0.019056081771850586,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,62010023936.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,69,4.601840|3.000000,0.0188753604888916,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,87657209856.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,70,4.601840|3.000000,0.01907801628112793,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,71,4.601840|3.000000,0.019043445587158203,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,134927220736.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,72,4.601840|3.000000,0.019871950149536133,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,106439155712.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,73,4.601840|3.000000,0.019427061080932617,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,83284008960.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,74,4.601840|3.000000,0.019661426544189453,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,78016348160.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,75,4.601840|3.000000,0.020249128341674805,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,99291602944.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,76,4.601840|3.000000,0.01938009262084961,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,48041476096.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,77,4.601840|3.000000,0.02062535285949707,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,128869228544.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,78,4.601840|3.000000,0.019457101821899414,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,86276136960.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,79,4.601840|3.000000,0.019393205642700195,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,123896332288.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,80,4.601840|3.000000,0.018765687942504883,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,108418719744.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,81,4.601840|3.000000,0.020084857940673828,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,101239930880.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,82,4.601840|3.000000,0.018577098846435547,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,66163613696.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,83,4.601840|3.000000,0.01934218406677246,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,108510371840.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,84,4.601840|3.000000,0.019670963287353516,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,49937469440.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,85,4.601840|3.000000,0.02018427848815918,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,111644327936.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,86,4.601840|3.000000,0.020238161087036133,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,62307246080.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,87,4.601840|3.000000,0.018915891647338867,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,49937285120.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,88,4.601840|3.000000,0.018720626831054688,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,89386254336.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,89,4.601840|3.000000,0.0192108154296875,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,94267392000.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,90,4.601840|3.000000,0.01880645751953125,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,70575079424.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,91,4.601840|3.000000,0.019681930541992188,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,115540893696.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,92,4.601840|3.000000,0.019974946975708008,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,73398214656.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,93,4.601840|3.000000,0.0185546875,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,132362362880.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,94,4.601840|3.000000,0.018664121627807617,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,95788105728.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,95,4.601840|3.000000,0.020154953002929688,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,135364091904.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,96,4.601840|3.000000,0.0190579891204834,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,70540460032.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,97,4.601840|3.000000,0.01825094223022461,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,87100014592.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,98,4.601840|3.000000,0.01950860023498535,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,49992892416.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,99,4.601840|3.000000,0.018980741500854492,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,121552486400.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,100,4.601840|3.000000,0.019976377487182617,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,112515678208.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,101,4.601840|3.000000,0.018374919891357422,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,66163060736.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,102,4.601840|3.000000,0.019196748733520508,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,93119594496.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,103,4.601840|3.000000,0.01941061019897461,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,118916702208.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,104,4.601840|3.000000,0.019775867462158203,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,106047627264.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,105,4.601840|3.000000,0.019596099853515625,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,86524239872.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,106,4.601840|3.000000,0.01961994171142578,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,62408327168.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,107,4.601840|3.000000,0.019049882888793945,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,109434109952.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,108,4.601840|3.000000,0.018610000610351562,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,61672652800.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,109,4.601840|3.000000,0.019034624099731445,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,106147315712.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,110,4.601840|3.000000,0.02045750617980957,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,113553932288.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,111,4.601840|3.000000,0.019717693328857422,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,82967175168.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,112,4.601840|3.000000,0.01957988739013672,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,114041561088.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,113,4.601840|3.000000,0.018587350845336914,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,79723962368.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,114,4.601840|3.000000,0.018653154373168945,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,65926492160.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,115,4.601840|3.000000,0.018972158432006836,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,94306508800.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,116,4.601840|3.000000,0.01886463165283203,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,93684080640.000000,N/A,1,5
MOGP_GENERATIONAL,7f02a35e-1524-11f1-9378-303ea725c124,Cooling,74,117,4.601840|3.000000,0.01918482780456543,3.0,4.416782|3.000000,4.601840|3.000000,4.416782|3.000000,3,135595933696.000000,N/A,1,5
