MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,23,8.515181|7.000000|2.000000,0.026706457138061523,7.0,8.968328|7.000000|2.000000,8.515181|7.000000|2.000000,8.968328|7.000000|2.000000,7,64831193088.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,24,8.515181|7.000000|2.000000,0.0268704891204834,7.0,8.968328|7.000000|2.000000,8.515181|7.000000|2.000000,8.968328|7.000000|2.000000,7,81240743936.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,25,8.515181|7.000000|2.000000,0.02680492401123047,7.0,8.968328|7.000000|2.000000,8.515181|7.000000|2.000000,8.968328|7.000000|2.000000,7,119332601856.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,26,8.515181|7.000000|2.000000,0.026072263717651367,7.0,8.968328|7.000000|2.000000,8.515181|7.000000|2.000000,8.968328|7.000000|2.000000,7,57636450304.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,27,8.515181|7.000000|2.000000,0.026356220245361328,7.0,8.968328|7.000000|2.000000,8.515181|7.000000|2.000000,8.968328|7.000000|2.000000,7,89654009856.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,28,8.515181|7.000000|2.000000,0.06483697891235352,7.0,8.968328|7.000000|2.000000,8.515181|7.000000|2.000000,8.968328|7.000000|2.000000,7,25641578496.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,29,8.515181|7.000000|2.000000,0.026767492294311523,7.0,8.968328|7.000000|2.000000,8.515181|7.000000|2.000000,8.968328|7.000000|2.000000,7,60945010688.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,30,8.515181|7.000000|2.000000,0.027370691299438477,7.0,8.968328|7.000000|2.000000,8.515181|7.000000|2.000000,8.968328|7.000000|2.000000,7,82891554816.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,31,8.470862|7.000000|1.000000,0.026139020919799805,7.0,8.578649|7.000000|1.000000,8.470862|7.000000|1.000000,8.578649|7.000000|1.000000,7,57270325248.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,32,8.470862|7.000000|1.000000,0.026266813278198242,7.0,8.578649|7.000000|1.000000,8.470862|7.000000|1.000000,8.578649|7.000000|1.000000,7,87502790656.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,33,8.470862|7.000000|1.000000,0.026790380477905273,7.0,8.578649|7.000000|1.000000,8.470862|7.000000|1.000000,8.578649|7.000000|1.000000,7,105347129344.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,34,8.470862|7.000000|1.000000,0.026548385620117188,7.0,8.578649|7.000000|1.000000,8.470862|7.000000|1.000000,8.578649|7.000000|1.000000,7,91226562560.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,35,8.470862|7.000000|1.000000,0.026501893997192383,7.0,8.578649|7.000000|1.000000,8.470862|7.000000|1.000000,8.578649|7.000000|1.000000,7,83548004352.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,36,8.470862|7.000000|1.000000,0.02754998207092285,7.0,8.578649|7.000000|1.000000,8.470862|7.000000|1.000000,8.578649|7.000000|1.000000,7,88095408128.000000,N/A,2,5
