MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,29,4.448025|3.000000,0.0188748836517334,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,42892300288.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,30,4.448025|3.000000,0.01926422119140625,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,104940969984.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,31,4.448025|3.000000,0.018690109252929688,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,49937453056.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,32,4.448025|3.000000,0.0192263126373291,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,101021040640.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,33,4.448025|3.000000,0.019880056381225586,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,55794262016.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,34,4.448025|3.000000,0.019519805908203125,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,152274878464.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,35,4.448025|3.000000,0.019118785858154297,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,85419409408.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,36,4.448025|3.000000,0.020116329193115234,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,70598361088.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,37,4.448025|3.000000,0.019290924072265625,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,121552486400.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,38,4.448025|3.000000,0.019659996032714844,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,81525817344.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,39,4.448025|3.000000,0.018640518188476562,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,111994396672.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,40,4.448025|3.000000,0.019135475158691406,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,130285256704.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,41,4.448025|3.000000,0.018642663955688477,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,105252945920.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,42,4.448025|3.000000,0.018843412399291992,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,96179593216.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,43,4.448025|3.000000,0.020235061645507812,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,106129620992.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,44,4.448025|3.000000,0.01943659782409668,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,93340762112.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,45,4.448025|3.000000,0.019162416458129883,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,91166261248.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,46,4.448025|3.000000,0.019231319427490234,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,110416019456.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,47,4.448025|3.000000,0.019529342651367188,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,85389008896.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,48,4.448025|3.000000,0.019865751266479492,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,143598092288.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,49,4.448025|3.000000,0.019232511520385742,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,82416615424.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,50,4.448025|3.000000,0.020049571990966797,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,90868162560.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,51,4.448025|3.000000,0.018658161163330078,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,95408578560.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,52,4.448025|3.000000,0.0189511775970459,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,69672976384.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,53,4.448025|3.000000,0.019699573516845703,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,118865182720.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,54,4.448025|3.000000,0.01901531219482422,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,114494414848.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,55,4.448025|3.000000,0.019836902618408203,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,122518495232.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,56,4.448025|3.000000,0.018759489059448242,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,108148080640.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,57,4.448025|3.000000,0.01996588706970215,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,106872717312.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,58,4.448025|3.000000,0.019398927688598633,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,118282231808.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,59,4.448025|3.000000,0.019272327423095703,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,101995651072.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,60,4.448025|3.000000,0.01899862289428711,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,60649725952.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,61,4.448025|3.000000,0.019231319427490234,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,82781642752.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,62,4.448025|3.000000,0.01894354820251465,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,69898674176.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,63,4.448025|3.000000,0.019479036331176758,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,49938612224.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,64,4.448025|3.000000,0.019500732421875,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,132854611968.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,65,4.448025|3.000000,0.01915884017944336,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,111100698624.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,66,4.448025|3.000000,0.018831968307495117,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,96332668928.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,67,4.448025|3.000000,0.02035999298095703,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,80340041728.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,68,4.448025|3.000000,0.01938343048095703,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,108147195904.000000,N/A,1,5
MOGP_GENERATIONAL,df8ceee8-153b-11f1-9378-303ea725c124,Cooling,74,69,4.448025|3.000000,0.01917243003845215,3.0,4.769059|3.000000,4.448025|3.000000,4.769059|3.000000,3,63566868480.000000,N/A,1,5
