=== Stats: Cooling_bkp (5_Objs) ===
Scenario  NSGA-II_Pure  NT_1st_Obj_Elitism  NT_NSGA-II
count         9.000000            9.000000    9.000000
mean          5.888889            5.666667    4.555556
std           3.333333            5.656854    2.603417
min           3.000000            3.000000    3.000000
25%           3.000000            3.000000    3.000000
50%           7.000000            3.000000    3.000000
75%           7.000000            3.000000    5.000000
max          13.000000           19.000000    9.000000

Friedman Test:
Statistic: 0.6667, p-value: 0.716531
