MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,27,4.559990|3.000000,0.01927018165588379,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,78516281344.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,28,4.559990|3.000000,0.05830788612365723,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,70533447680.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,29,4.559990|3.000000,0.01894521713256836,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,93775175680.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,30,4.559990|3.000000,0.01912522315979004,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,99498508288.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,31,4.559990|3.000000,0.01892232894897461,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,91963326464.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,32,4.559990|3.000000,0.019315481185913086,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,72738086912.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,33,4.559990|3.000000,0.019345998764038086,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,112249774080.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,34,4.559990|3.000000,0.01973867416381836,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,96465772544.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,35,4.559990|3.000000,0.01916027069091797,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,82967609344.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,36,4.559990|3.000000,0.019929170608520508,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,96442466304.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,37,4.559990|3.000000,0.02023625373840332,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,81218666496.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,38,4.559990|3.000000,0.01932358741760254,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,101954093056.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,39,4.559990|3.000000,0.01848149299621582,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,101014044672.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,40,4.559990|3.000000,0.019450902938842773,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,81473036288.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,41,4.559990|3.000000,0.018836498260498047,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,110451728384.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,42,4.559990|3.000000,0.018973588943481445,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,111631679488.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,43,4.559990|3.000000,0.020200729370117188,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,101617516544.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,44,4.559990|3.000000,0.01936793327331543,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,115884433408.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,45,4.559990|3.000000,0.01955127716064453,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,143732129792.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,46,4.559990|3.000000,0.01901078224182129,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,49937469440.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,47,4.559990|3.000000,0.019521236419677734,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,99498754048.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,48,4.559990|3.000000,0.02013397216796875,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,99498754048.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,49,4.559990|3.000000,0.019309282302856445,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,100258684928.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,50,4.559990|3.000000,0.020053863525390625,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,97314512896.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,51,4.559990|3.000000,0.018518686294555664,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,76043952128.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,52,4.559990|3.000000,0.019257783889770508,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,116623876096.000000,N/A,1,5
