MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,31,7.459480|7.000000|2.000000,0.026030540466308594,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,49084071936.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,32,7.459480|7.000000|2.000000,0.026444435119628906,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,15774741504.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,33,7.459480|7.000000|2.000000,0.026679515838623047,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,80142417920.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,34,7.459480|7.000000|2.000000,0.026046276092529297,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,79305211904.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,35,7.459480|7.000000|2.000000,0.026915788650512695,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,86510624768.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,36,7.459480|7.000000|2.000000,0.027540922164916992,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,72322646016.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,37,7.459480|7.000000|2.000000,0.02644515037536621,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,84235624448.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,38,7.459480|7.000000|2.000000,0.025254487991333008,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,94488690688.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,39,7.459480|7.000000|2.000000,0.026786088943481445,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,99218210816.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,40,7.459480|7.000000|2.000000,0.02580714225769043,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,44221730816.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,41,7.459480|7.000000|2.000000,0.026913881301879883,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,74065158144.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,42,7.459480|7.000000|2.000000,0.025912046432495117,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,70455705600.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,43,7.459480|7.000000|2.000000,0.027592182159423828,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,71225032704.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,44,7.459480|7.000000|2.000000,0.02632617950439453,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,73573220352.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,45,7.459480|7.000000|2.000000,0.026385784149169922,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,83776978944.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,46,7.459480|7.000000|2.000000,0.026923656463623047,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,105948815360.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,47,7.459480|7.000000|2.000000,0.02678966522216797,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,68302524416.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,48,7.459480|7.000000|2.000000,0.026573657989501953,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,89258754048.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,49,7.459480|7.000000|2.000000,0.026780128479003906,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,102769786880.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,50,7.459480|7.000000|2.000000,0.026594161987304688,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,88494047232.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,51,7.459480|7.000000|2.000000,0.02663111686706543,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,72714199040.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,52,7.459480|7.000000|2.000000,0.02621746063232422,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,48151056384.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,53,7.459480|7.000000|2.000000,0.06522774696350098,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,96255787008.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,54,7.459480|7.000000|2.000000,0.026154279708862305,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,88708087808.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,55,7.459480|7.000000|2.000000,0.025199174880981445,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,49449242624.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,56,7.459480|7.000000|2.000000,0.02754521369934082,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,81892286464.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,57,7.459480|7.000000|2.000000,0.02619194984436035,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,71920107520.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,58,7.459480|7.000000|2.000000,0.026839017868041992,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,44751241216.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,59,7.459480|7.000000|2.000000,0.02752399444580078,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,115241787392.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,60,7.459480|7.000000|2.000000,0.02596306800842285,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,95883829248.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,61,7.459480|7.000000|2.000000,0.02678537368774414,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,92113641472.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,62,7.459480|7.000000|2.000000,0.027081012725830078,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,62964551680.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,63,7.459480|7.000000|2.000000,0.026865720748901367,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,80788103168.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,64,7.459480|7.000000|2.000000,0.02654409408569336,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,49584242688.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,65,7.459480|7.000000|2.000000,0.02590155601501465,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,59522314240.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,66,7.459480|7.000000|2.000000,0.026280879974365234,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,67494322176.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,67,7.459480|7.000000|2.000000,0.02624654769897461,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,93437607936.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,68,7.459480|7.000000|2.000000,0.026372194290161133,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,40768012288.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,69,7.459480|7.000000|2.000000,0.02597784996032715,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,26140274688.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,70,7.459480|7.000000|2.000000,0.026990652084350586,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,61301350400.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,71,7.459480|7.000000|2.000000,0.0272066593170166,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,74030678016.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,72,7.459480|7.000000|2.000000,0.025678157806396484,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,74715062272.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,73,7.459480|7.000000|2.000000,0.02616405487060547,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,80903766016.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,74,7.459480|7.000000|2.000000,0.02763962745666504,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,85727150080.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,75,7.459480|7.000000|2.000000,0.025922775268554688,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,86919528448.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,76,7.459480|7.000000|2.000000,0.025304555892944336,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,131346276352.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,77,7.459480|7.000000|2.000000,0.026747465133666992,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,80495845376.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,78,7.459480|7.000000|2.000000,0.026628494262695312,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,115678191616.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,79,7.459480|7.000000|2.000000,0.026716947555541992,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,96932257792.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,80,7.459480|7.000000|2.000000,0.02663421630859375,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,77269630976.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,81,7.459480|7.000000|2.000000,0.026531696319580078,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,93238648832.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,82,7.459480|7.000000|2.000000,0.02577376365661621,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,75645018112.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,83,7.459480|7.000000|2.000000,0.026689529418945312,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,113518403584.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,84,7.459480|7.000000|2.000000,0.02640819549560547,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,81159512064.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,85,7.459480|7.000000|2.000000,0.02714228630065918,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,98339348480.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,86,7.459480|7.000000|2.000000,0.02568840980529785,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,68032405504.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,87,7.459480|7.000000|2.000000,0.02595686912536621,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,92468764672.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,88,7.459480|7.000000|2.000000,0.0269773006439209,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,112038789120.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,89,7.459480|7.000000|2.000000,0.026235103607177734,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,120558583808.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,90,7.459480|7.000000|2.000000,0.026104450225830078,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,76403384320.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,91,7.459480|7.000000|2.000000,0.02762913703918457,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,74204184576.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,92,7.459480|7.000000|2.000000,0.026482820510864258,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,98673975296.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,93,7.459480|7.000000|2.000000,0.02600550651550293,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,5425048064.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,94,7.459480|7.000000|2.000000,0.02680802345275879,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,100240752640.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,95,7.459480|7.000000|2.000000,0.027310848236083984,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,101190778880.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,96,7.459480|7.000000|2.000000,0.0273740291595459,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,97153638400.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,97,7.459480|7.000000|2.000000,0.02657151222229004,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,72236474368.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,98,7.459480|7.000000|2.000000,0.02626323699951172,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,75832049664.000000,N/A,2,5
MOGP_GENERATIONAL,c2bc1c32-13f9-11f1-9378-303ea725c124,Boston,74,99,7.459480|7.000000|2.000000,0.025957107543945312,7.0,6.177087|7.000000|2.000000,7.459480|7.000000|2.000000,6.177087|7.000000|2.000000,7,54856163328.000000,N/A,2,5
