MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,36,7.189741|7.000000|2.000000,0.027620315551757812,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,93200121856.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,37,7.189741|7.000000|2.000000,0.02657008171081543,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,76616679424.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,38,7.189741|7.000000|2.000000,0.02551865577697754,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,100493467648.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,39,7.189741|7.000000|2.000000,0.02662062644958496,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,116954570752.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,40,7.189741|7.000000|2.000000,0.025767087936401367,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,50019868672.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,41,7.189741|7.000000|2.000000,0.026952743530273438,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,74160242688.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,42,7.189741|7.000000|2.000000,0.026420116424560547,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,99742523392.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,43,7.189741|7.000000|2.000000,0.02722334861755371,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,70295625728.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,44,7.189741|7.000000|2.000000,0.027025699615478516,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,60265041920.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,45,7.189741|7.000000|2.000000,0.026843786239624023,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,93154918400.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,46,7.189741|7.000000|2.000000,0.027118206024169922,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,106172768256.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,47,7.189741|7.000000|2.000000,0.02700519561767578,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,68607459328.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,48,7.189741|7.000000|2.000000,0.02662038803100586,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,89475162112.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,49,7.189741|7.000000|2.000000,0.026954174041748047,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,102684827648.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,50,7.189741|7.000000|2.000000,0.02680683135986328,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,87645134848.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,51,7.189741|7.000000|2.000000,0.026849031448364258,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,72665530368.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,52,7.189741|7.000000|2.000000,0.026311397552490234,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,70548725760.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,53,7.189741|7.000000|2.000000,0.026849985122680664,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,101289451520.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,54,7.189741|7.000000|2.000000,0.02645111083984375,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,32317659136.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,55,7.189741|7.000000|2.000000,0.02558302879333496,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,49740169216.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,56,7.189741|7.000000|2.000000,0.0272371768951416,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,26074013696.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,57,7.189741|7.000000|2.000000,0.02631545066833496,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,69800034304.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,58,7.189741|7.000000|2.000000,0.026972532272338867,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,94944387072.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,59,7.189741|7.000000|2.000000,0.027550935745239258,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,64425705472.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,60,7.189741|7.000000|2.000000,0.02620863914489746,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,76051718144.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,61,7.189741|7.000000|2.000000,0.026715517044067383,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,55111585792.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,62,7.189741|7.000000|2.000000,0.02645587921142578,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,36402900992.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,63,7.189741|7.000000|2.000000,0.026937007904052734,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,66562953216.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,64,7.189741|7.000000|2.000000,0.026739120483398438,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,65935392768.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,65,7.189741|7.000000|2.000000,0.02597665786743164,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,59752787968.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,66,7.189741|7.000000|2.000000,0.026281356811523438,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,67604152320.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,67,7.189741|7.000000|2.000000,0.0264127254486084,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,92995280896.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,68,7.189741|7.000000|2.000000,0.026812314987182617,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,55143337984.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,69,7.189741|7.000000|2.000000,0.026224851608276367,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,49937465344.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,70,7.189741|7.000000|2.000000,0.026777267456054688,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,78766235648.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,71,7.189741|7.000000|2.000000,0.02742481231689453,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,57042432000.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,72,7.189741|7.000000|2.000000,0.025643348693847656,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,102377054208.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,73,7.189741|7.000000|2.000000,0.02635049819946289,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,97913053184.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,74,7.189741|7.000000|2.000000,0.02789902687072754,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,80956923904.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,75,7.189741|7.000000|2.000000,0.026087284088134766,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,92630335488.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,76,7.189741|7.000000|2.000000,0.025766372680664062,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,76868354048.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,77,7.189741|7.000000|2.000000,0.026708126068115234,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,58393800704.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,78,7.189741|7.000000|2.000000,0.026641845703125,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,100227612672.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,79,7.189741|7.000000|2.000000,0.026752233505249023,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,68167221248.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,80,7.189741|7.000000|2.000000,0.026986122131347656,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,110145388544.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,81,7.189741|7.000000|2.000000,0.026717662811279297,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,83564650496.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,82,7.189741|7.000000|2.000000,0.02582716941833496,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,78604107776.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,83,7.189741|7.000000|2.000000,0.026489973068237305,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,47700881408.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,84,7.189741|7.000000|2.000000,0.026328086853027344,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,81299423232.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,85,7.189741|7.000000|2.000000,0.027210474014282227,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,88773591040.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,86,7.189741|7.000000|2.000000,0.02573394775390625,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,101622153216.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,87,7.189741|7.000000|2.000000,0.025900602340698242,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,83521355776.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,88,7.189741|7.000000|2.000000,0.026633024215698242,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,65415057408.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,89,7.189741|7.000000|2.000000,0.026752233505249023,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,101558804480.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,90,7.189741|7.000000|2.000000,0.02567768096923828,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,53414125568.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,91,7.189741|7.000000|2.000000,0.02774214744567871,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,96182190080.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,92,7.189741|7.000000|2.000000,0.02617931365966797,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,28946827264.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,93,7.189741|7.000000|2.000000,0.026180744171142578,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,40773431296.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,94,7.189741|7.000000|2.000000,0.026812076568603516,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,71016669184.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,95,7.189741|7.000000|2.000000,0.02680492401123047,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,53080997888.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,96,7.189741|7.000000|2.000000,0.028171539306640625,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,117695209472.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,97,7.189741|7.000000|2.000000,0.026484966278076172,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,55694340096.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,98,7.189741|7.000000|2.000000,0.026034116744995117,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,35025866752.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,99,7.189741|7.000000|2.000000,0.026163578033447266,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,78147911680.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,100,7.189741|7.000000|2.000000,0.02623581886291504,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,14586943488.000000,N/A,2,5
MOGP_GENERATIONAL,5fe5672a-1486-11f1-9378-303ea725c124,Boston,74,101,7.189741|7.000000|2.000000,0.026802539825439453,7.0,6.881801|7.000000|2.000000,7.189741|7.000000|2.000000,6.881801|7.000000|2.000000,7,106726580224.000000,N/A,2,5
